feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score
AMPK_INSULIN_COUNTERREGULATION	insulin_irs_signaling	AMPK counter-regulation of insulin signaling	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0960;GSE186800:0.8737;GSE252321:-0.0934;GSE280297:0.1432	2	2	positive	0.6153846153846154	0.024891192039635	0.1195884262032442	0.8737464490100074	0	1	1	context_divergent_or_tissue_specific	5.73497304158786
COMPLEMENT_COAGULATION_CROSSTALK	complement_architecture	Complement-coagulation crosstalk	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0119;GSE186800:0.0935;GSE252321:1.2139;GSE280297:-0.0385	2	2	negative	0.6153846153846154	0.0407853988300732	0.0659949926695688	1.2138848239356397	0	1	1	context_divergent_or_tissue_specific	5.681379608054184
TCA_OXPHOS	carbohydrate_inflammatory_carbon	TCA cycle and oxidative phosphorylation	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.3733;GSE186800:-0.1070;GSE252321:-0.6033;GSE280297:0.4911	2	2	positive	0.6153846153846154	0.1331235448356279	0.4321686343581146	0.603288398609815	0	1	0	context_divergent_or_tissue_specific	3.5475532497427302
MTORC1_INSULIN_OUTPUT	insulin_irs_signaling	mTORC1 insulin output	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.1023;GSE186800:0.7815;GSE252321:-0.2757;GSE280297:0.2898	2	2	positive	0.6153846153846154	0.0937728436929445	0.2827807641536563	0.7814687820842906	0	1	0	context_divergent_or_tissue_specific	3.398165379538272
STEROID_SULFATION_DESULFATION	steroid_cholesterol_endocrine	Steroid sulfation and desulfation	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0709;GSE186800:0.3115;GSE252321:0.2502;GSE280297:-0.6622	2	2	negative	0.6153846153846154	0.0896751647230467	0.2808476821303817	0.6622188490412063	0	1	0	context_divergent_or_tissue_specific	3.396232297514997
BRANCHED_CHAIN_AMINO_ACIDS	amino_acid_metabolism	Branched-chain amino-acid metabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.1862;GSE186800:0.1476;GSE252321:-0.5899;GSE280297:0.0684	2	2	positive	0.6153846153846154	-0.0588823054320346	0.1668859250560306	0.5898504281140434	0	1	0	context_divergent_or_tissue_specific	3.282270540440646
NAD_METABOLISM	nucleotide_nad_nitrogen	NAD metabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.0045;GSE186800:0.1752;GSE252321:-0.4131;GSE280297:0.2448	2	2	positive	0.6153846153846154	0.0853433599135049	0.2100005003186482	0.413058608436714	0	0	0	context_divergent_or_tissue_specific	1.825385115703264
SERINE_GLYCINE_ONE_CARBON	amino_acid_metabolism	Serine, glycine and one-carbon metabolism	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0384;GSE186800:-0.0770;GSE252321:-0.4825;GSE280297:0.3320	2	2	positive	0.6153846153846154	-0.0192929067907461	0.204509670143039	0.4825057735165307	0	0	0	context_divergent_or_tissue_specific	1.8198942855276543
ADRENERGIC_STRESS_SIGNALING	catecholamine_stress_adjacent	Adrenergic stress signaling	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.1038;GSE186800:0.2941;GSE252321:0.0179;GSE280297:-0.4203	2	2	negative	0.6153846153846154	-0.0429290753719735	0.198954323896544	0.4202849029495351	0	0	0	context_divergent_or_tissue_specific	1.8143389392811595
GLUCONEOGENESIS	carbohydrate_inflammatory_carbon	Gluconeogenesis	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0496;GSE186800:-0.0663;GSE252321:-0.0332;GSE280297:0.2827	2	2	positive	0.6153846153846154	0.0082294637705624	0.0579500120280117	0.2826640207251812	0	0	0	context_divergent_or_tissue_specific	1.6733346274126273
EICOSANOID_PROSTAGLANDIN_METABOLISM	lipid_metabolism	Eicosanoid and prostaglandin metabolism	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0579;GSE186800:-0.0524;GSE252321:-0.0110;GSE280297:0.0705	2	2	positive	0.6153846153846154	0.0234841144547367	0.0551591267469254	0.0704649243100196	0	0	0	context_divergent_or_tissue_specific	1.670543742131541
