module_name	gene_symbol
FERROPTOSIS_OXIDATIVE_CELL_DEATH	FTL
FERROPTOSIS_OXIDATIVE_CELL_DEATH	TFRC
FERROPTOSIS_OXIDATIVE_CELL_DEATH	HMOX1
FERROPTOSIS_OXIDATIVE_CELL_DEATH	NCOA4
FERROPTOSIS_OXIDATIVE_CELL_DEATH	SAT1
FERROPTOSIS_OXIDATIVE_CELL_DEATH	NOX1
FERROPTOSIS_OXIDATIVE_CELL_DEATH	NOX4
FERROPTOSIS_OXIDATIVE_CELL_DEATH	GCLC
FERROPTOSIS_OXIDATIVE_CELL_DEATH	GCLM
NEUTROPHIL_NETOSIS	S100A8
NEUTROPHIL_NETOSIS	S100A9
NEUTROPHIL_NETOSIS	MPO
NEUTROPHIL_NETOSIS	ELANE
NEUTROPHIL_NETOSIS	PRTN3
NEUTROPHIL_NETOSIS	CTSG
NEUTROPHIL_NETOSIS	LTF
NEUTROPHIL_NETOSIS	LCN2
NEUTROPHIL_NETOSIS	MMP8
NEUTROPHIL_NETOSIS	MMP9
NEUTROPHIL_NETOSIS	CXCR1
NEUTROPHIL_NETOSIS	CXCR2
NEUTROPHIL_NETOSIS	FCGR3B
NEUTROPHIL_NETOSIS	ITGAM
NEUTROPHIL_NETOSIS	CEACAM8
NEUTROPHIL_NETOSIS	PADI4
NEUTROPHIL_NETOSIS	DNASE1
NEUTROPHIL_NETOSIS	CXCL8
NEUTROPHIL_NETOSIS	CXCL1
NEUTROPHIL_NETOSIS	CXCL2
MACROPHAGE_DC_ACTIVATION	CD68
MACROPHAGE_DC_ACTIVATION	LYZ
MACROPHAGE_DC_ACTIVATION	LST1
MACROPHAGE_DC_ACTIVATION	C1QA
MACROPHAGE_DC_ACTIVATION	C1QB
MACROPHAGE_DC_ACTIVATION	C1QC
MACROPHAGE_DC_ACTIVATION	FCGR1A
MACROPHAGE_DC_ACTIVATION	CSF1R
MACROPHAGE_DC_ACTIVATION	ITGAX
MACROPHAGE_DC_ACTIVATION	CD74
MACROPHAGE_DC_ACTIVATION	HLA-DRA
MACROPHAGE_DC_ACTIVATION	HLA-DRB1
MACROPHAGE_DC_ACTIVATION	HLA-DPA1
MACROPHAGE_DC_ACTIVATION	HLA-DPB1
MACROPHAGE_DC_ACTIVATION	CD80
MACROPHAGE_DC_ACTIVATION	CD86
MACROPHAGE_DC_ACTIVATION	IL1B
MACROPHAGE_DC_ACTIVATION	TNF
MACROPHAGE_DC_ACTIVATION	CXCL10
MACROPHAGE_DC_ACTIVATION	CCL2
TREG_IL10_CD137_AXIS	FOXP3
TREG_IL10_CD137_AXIS	IL2RA
TREG_IL10_CD137_AXIS	CTLA4
TREG_IL10_CD137_AXIS	IKZF2
TREG_IL10_CD137_AXIS	TIGIT
TREG_IL10_CD137_AXIS	TNFRSF9
TREG_IL10_CD137_AXIS	TNFSF9
TREG_IL10_CD137_AXIS	IL10
TREG_IL10_CD137_AXIS	IL10RA
TREG_IL10_CD137_AXIS	IL10RB
TREG_IL10_CD137_AXIS	TGFB1
TREG_IL10_CD137_AXIS	STAT5A
TREG_IL10_CD137_AXIS	STAT5B
TREG_IL10_CD137_AXIS	CCR7
TREG_IL10_CD137_AXIS	LAG3
MAST_CELL_MRGPRX2_AXIS	KIT
MAST_CELL_MRGPRX2_AXIS	TPSAB1
MAST_CELL_MRGPRX2_AXIS	TPSB2
MAST_CELL_MRGPRX2_AXIS	CPA3
MAST_CELL_MRGPRX2_AXIS	CMA1
MAST_CELL_MRGPRX2_AXIS	MS4A2
MAST_CELL_MRGPRX2_AXIS	FCER1A
MAST_CELL_MRGPRX2_AXIS	HDC
MAST_CELL_MRGPRX2_AXIS	HPGDS
MAST_CELL_MRGPRX2_AXIS	MRGPRX2
MAST_CELL_MRGPRX2_AXIS	IL33
MAST_CELL_MRGPRX2_AXIS	IL1RL1
MAST_CELL_MRGPRX2_AXIS	AREG
GLUCOCORTICOID_SIGNALING	NR3C1
GLUCOCORTICOID_SIGNALING	FKBP5
GLUCOCORTICOID_SIGNALING	TSC22D3
GLUCOCORTICOID_SIGNALING	DUSP1
GLUCOCORTICOID_SIGNALING	KLF9
GLUCOCORTICOID_SIGNALING	PER1
GLUCOCORTICOID_SIGNALING	SGK1
GLUCOCORTICOID_SIGNALING	ZBTB16
GLUCOCORTICOID_SIGNALING	NFKBIA
GLUCOCORTICOID_SIGNALING	GILZ
GLUCOCORTICOID_SIGNALING	HSD11B1
GLUCOCORTICOID_SIGNALING	HSD11B2
OXYTOCIN_PREGNANCY_SIGNALING	OXTR
OXYTOCIN_PREGNANCY_SIGNALING	AVPR1A
OXYTOCIN_PREGNANCY_SIGNALING	PTGS1
OXYTOCIN_PREGNANCY_SIGNALING	PTGS2
OXYTOCIN_PREGNANCY_SIGNALING	PTGER2
OXYTOCIN_PREGNANCY_SIGNALING	PTGER3
OXYTOCIN_PREGNANCY_SIGNALING	PTGER4
OXYTOCIN_PREGNANCY_SIGNALING	PLA2G4A
OXYTOCIN_PREGNANCY_SIGNALING	CALM1
OXYTOCIN_PREGNANCY_SIGNALING	CALM2
OXYTOCIN_PREGNANCY_SIGNALING	CALM3
OXYTOCIN_PREGNANCY_SIGNALING	MAPK1
OXYTOCIN_PREGNANCY_SIGNALING	MAPK3
OXYTOCIN_PREGNANCY_SIGNALING	NFKB1
OXYTOCIN_PREGNANCY_SIGNALING	RELA
OXYTOCIN_PREGNANCY_SIGNALING	IL6
OXYTOCIN_PREGNANCY_SIGNALING	CXCL8
OXIDATIVE_STRESS_NRF2	NFE2L2
OXIDATIVE_STRESS_NRF2	KEAP1
OXIDATIVE_STRESS_NRF2	HMOX1
OXIDATIVE_STRESS_NRF2	NQO1
OXIDATIVE_STRESS_NRF2	GCLC
OXIDATIVE_STRESS_NRF2	GCLM
OXIDATIVE_STRESS_NRF2	GSR
OXIDATIVE_STRESS_NRF2	SOD1
OXIDATIVE_STRESS_NRF2	SOD2
OXIDATIVE_STRESS_NRF2	CAT
OXIDATIVE_STRESS_NRF2	PRDX1
OXIDATIVE_STRESS_NRF2	PRDX2
OXIDATIVE_STRESS_NRF2	PRDX3
OXIDATIVE_STRESS_NRF2	TXN
OXIDATIVE_STRESS_NRF2	TXNRD1
OXIDATIVE_STRESS_NRF2	GPX1
OXIDATIVE_STRESS_NRF2	GPX4
OXIDATIVE_STRESS_NRF2	NOX1
OXIDATIVE_STRESS_NRF2	NOX2
OXIDATIVE_STRESS_NRF2	NOX4
GLYCOLYSIS_CARBON_FLUX	SLC2A1
GLYCOLYSIS_CARBON_FLUX	HK1
GLYCOLYSIS_CARBON_FLUX	HK2
GLYCOLYSIS_CARBON_FLUX	GPI
GLYCOLYSIS_CARBON_FLUX	PFKP
GLYCOLYSIS_CARBON_FLUX	PFKM
GLYCOLYSIS_CARBON_FLUX	ALDOA
GLYCOLYSIS_CARBON_FLUX	TPI1
GLYCOLYSIS_CARBON_FLUX	GAPDH
GLYCOLYSIS_CARBON_FLUX	PGK1
GLYCOLYSIS_CARBON_FLUX	PGAM1
GLYCOLYSIS_CARBON_FLUX	ENO1
GLYCOLYSIS_CARBON_FLUX	PKM
GLYCOLYSIS_CARBON_FLUX	LDHA
GLYCOLYSIS_CARBON_FLUX	PDK1
GLYCOLYSIS_CARBON_FLUX	PDK3
TCA_OXPHOS_MITOCHONDRIAL	CS
TCA_OXPHOS_MITOCHONDRIAL	ACO2
TCA_OXPHOS_MITOCHONDRIAL	IDH3A
TCA_OXPHOS_MITOCHONDRIAL	IDH3B
TCA_OXPHOS_MITOCHONDRIAL	OGDH
TCA_OXPHOS_MITOCHONDRIAL	DLST
TCA_OXPHOS_MITOCHONDRIAL	SUCLG1
TCA_OXPHOS_MITOCHONDRIAL	SDHA
TCA_OXPHOS_MITOCHONDRIAL	SDHB
TCA_OXPHOS_MITOCHONDRIAL	FH
TCA_OXPHOS_MITOCHONDRIAL	MDH2
TCA_OXPHOS_MITOCHONDRIAL	NDUFA1
TCA_OXPHOS_MITOCHONDRIAL	NDUFA2
TCA_OXPHOS_MITOCHONDRIAL	NDUFB8
TCA_OXPHOS_MITOCHONDRIAL	UQCRC1
TCA_OXPHOS_MITOCHONDRIAL	COX4I1
TCA_OXPHOS_MITOCHONDRIAL	ATP5F1A
TCA_OXPHOS_MITOCHONDRIAL	ATP5F1B
PENTOSE_PHOSPHATE_NADPH	G6PD
PENTOSE_PHOSPHATE_NADPH	PGLS
PENTOSE_PHOSPHATE_NADPH	PGD
PENTOSE_PHOSPHATE_NADPH	RPIA
PENTOSE_PHOSPHATE_NADPH	RPE
PENTOSE_PHOSPHATE_NADPH	TKT
PENTOSE_PHOSPHATE_NADPH	TALDO1
PENTOSE_PHOSPHATE_NADPH	PRPS1
PENTOSE_PHOSPHATE_NADPH	PRPS2
UROTHELIAL_BARRIER_REPAIR	KRT5
UROTHELIAL_BARRIER_REPAIR	KRT14
UROTHELIAL_BARRIER_REPAIR	KRT8
UROTHELIAL_BARRIER_REPAIR	KRT18
UROTHELIAL_BARRIER_REPAIR	KRT20
UROTHELIAL_BARRIER_REPAIR	UPK1A
UROTHELIAL_BARRIER_REPAIR	UPK1B
UROTHELIAL_BARRIER_REPAIR	UPK2
UROTHELIAL_BARRIER_REPAIR	UPK3A
UROTHELIAL_BARRIER_REPAIR	CLDN4
UROTHELIAL_BARRIER_REPAIR	CLDN8
UROTHELIAL_BARRIER_REPAIR	OCLN
UROTHELIAL_BARRIER_REPAIR	TJP1
UROTHELIAL_BARRIER_REPAIR	MUC1
UROTHELIAL_BARRIER_REPAIR	MUC4
UROTHELIAL_BARRIER_REPAIR	EPCAM
UROTHELIAL_BARRIER_REPAIR	ITGA6
UROTHELIAL_BARRIER_REPAIR	ITGB4
UROTHELIAL_BARRIER_REPAIR	EGFR
UROTHELIAL_BARRIER_REPAIR	AREG
UROTHELIAL_BARRIER_REPAIR	EREG
UROTHELIAL_BARRIER_REPAIR	MMP7
UROTHELIAL_BARRIER_REPAIR	MMP9
COMPLEMENT_COAGULATION_ANTIMICROBIAL	C1QA
COMPLEMENT_COAGULATION_ANTIMICROBIAL	C1QB
COMPLEMENT_COAGULATION_ANTIMICROBIAL	C1QC
COMPLEMENT_COAGULATION_ANTIMICROBIAL	C3
COMPLEMENT_COAGULATION_ANTIMICROBIAL	C5
COMPLEMENT_COAGULATION_ANTIMICROBIAL	CFB
COMPLEMENT_COAGULATION_ANTIMICROBIAL	CFD
COMPLEMENT_COAGULATION_ANTIMICROBIAL	CFH
COMPLEMENT_COAGULATION_ANTIMICROBIAL	CAMP
COMPLEMENT_COAGULATION_ANTIMICROBIAL	DEFA1
COMPLEMENT_COAGULATION_ANTIMICROBIAL	DEFA3
COMPLEMENT_COAGULATION_ANTIMICROBIAL	DEFB1
COMPLEMENT_COAGULATION_ANTIMICROBIAL	LCN2
COMPLEMENT_COAGULATION_ANTIMICROBIAL	LTF
COMPLEMENT_COAGULATION_ANTIMICROBIAL	S100A8
COMPLEMENT_COAGULATION_ANTIMICROBIAL	S100A9
COMPLEMENT_COAGULATION_ANTIMICROBIAL	SERPING1
COMPLEMENT_COAGULATION_ANTIMICROBIAL	F3
COMPLEMENT_COAGULATION_ANTIMICROBIAL	PLG
