category	supplementary_table	audit_id	pass	observed	expected	severity	note
table_specific	S3	single_cell_group_sizes	True	n_group_a=[np.int64(2)]; n_group_b=[np.int64(2)]	2 versus 2	BLOCKING	The sample-level contrast contains two controls and two UPEC samples.
table_specific	S4	recurrence_feature_rows	True	78	78	BLOCKING	One recurrence record is expected per submodule.
table_specific	S4	independent_dataset_count_range	True	min=1; max=4	1-4	BLOCKING	Recurrence counts must refer to independently analyzed datasets.
table_specific	S5	pregnancy_tissues	True	bladder; placenta; uterus	bladder; placenta; uterus	BLOCKING	Pregnancy effects must retain all three tissues.
table_specific	S5	pregnancy_contrast_columns	True	7	7	BLOCKING	The frozen matrix has three C1 tissues, three C2 tissues and one C3 bladder contrast.
table_specific	S6	single_cell_raw_cell_total	True	28313	28313	BLOCKING	The four flat matrices contain 28,313 cells.
table_specific	S6	single_cell_qc_pass_total	True	27385	27385	BLOCKING	A total of 27,385 cells passed QC.
table_specific	S6	cluster_count	True	18	18	BLOCKING	Marker reconstruction resolved 18 clusters.
table_specific	S6	cluster_rank_uniqueness	True	0	0	BLOCKING	Cluster-marker ranks must be unique inside each cluster.
table_specific	S6	broad_cell_type_fraction_sum_by_sample	True	4.440892098500626e-16	<=0.001	BLOCKING	Composition fractions should sum to one within each sample.
table_specific	S6	refined_cell_subtype_fraction_sum_by_sample	True	9.992007221626409e-16	<=0.001	BLOCKING	Composition fractions should sum to one within each sample.
table_specific	S7	broad-cell_localization_summary_feature_count	True	rows=73; unique_features=73	73 rows and 73 unique features	BLOCKING	Each localization summary should contain one row per score-eligible module.
table_specific	S7	core-module_cellular_localization_feature_count	True	rows=73; unique_features=73	73 rows and 73 unique features	BLOCKING	Each localization summary should contain one row per score-eligible module.
table_specific	S7	refined-subtype_localization_summary_feature_count	True	rows=73; unique_features=73	73 rows and 73 unique features	BLOCKING	Each localization summary should contain one row per score-eligible module.
table_specific	S8	core_attribution_rows	True	rows=10; features=10	10	BLOCKING	Ten predefined core modules require cellular attribution.
table_specific	S8	module_synthesis_rows	True	rows=73; features=73	73	BLOCKING	All 73 score-eligible modules require cellular synthesis.
table_specific	S9	frozen_asset_checksums	True	true	true	BLOCKING	Frozen package assets must match their source checksums.
table_specific	S9	panel_registry_counts	True	titles=57; legends=57	57 and 57	BLOCKING	All 57 panels require title and definitive-legend provenance.
table_specific	S9	figures_1_to_8_present	True	1; 2; 3; 4; 5; 6; 7; 8	1; 2; 3; 4; 5; 6; 7; 8	BLOCKING	The provenance registry must cover all eight main figures.
table_specific	S10	prohibited_skin_accession_rule	True	1	1	BLOCKING	Exactly one semantic prohibition rule should document GSE168600.
table_specific	S10	correct_recurrent_accession_rule	True	1	1	BLOCKING	Exactly one canonical/required rule should document GSE186800.
source_block	S1	source_row_count::GSE252321 four-sample biological design	True	4	4	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S1	source_row_count::GSE112098 validated 73-sample design	True	73	73	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S1	source_row_count::GSE186800 validated 20-sample recurrent-UTI design	True	20	20	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S1	source_row_count::GSE280297 validated 60-tissue-sample design	True	60	60	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S2	source_row_count::Frozen 78-submodule library	True	78	78	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S3	source_row_count::GSE112098 adjusted human comparator module effects	True	20	20	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S3	source_row_count::GSE280297 factorial and tissue-specific module effects	True	810	810	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S3	source_row_count::GSE186800 block and interaction module effects	True	162	162	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S3	source_row_count::GSE252321 sample-level UPEC-versus-control module effects	True	20	20	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S4	source_row_count::Evidence-class summary	True	4	4	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S4	source_row_count::Independent-dataset recurrence ranking	True	78	78	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S4	source_row_count::Evidence-weighted synthesis panel support	True	60	60	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S5	source_row_count::Tissue-resolved preterm-versus-term effects	True	243	243	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S5	source_row_count::Collapsed pregnancy-outcome effects	True	81	81	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S5	source_row_count::Full three-contrast tissue effect matrix	True	81	81	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S6	source_row_count::Flat-matrix and per-sample single-cell QC	True	4	4	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S6	source_row_count::Cluster top-marker table	True	450	450	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S6	source_row_count::Broad-cell sample composition	True	32	32	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S6	source_row_count::Refined-subtype sample composition	True	72	72	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S7	source_row_count::Broad-cell localization summary	True	73	73	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S7	source_row_count::Core-module cellular localization	True	73	73	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S7	source_row_count::Refined-subtype localization summary	True	73	73	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S8	source_row_count::Core complement and endocrine-metabolic cellular attribution	True	10	10	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S8	source_row_count::Module-level cellular synthesis across immune populations	True	73	73	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S9	source_row_count::Frozen Figure 1-8 asset manifest	True	83	83	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S9	source_row_count::Figure and panel title registry	True	57	57	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S9	source_row_count::Accession-corrected panel legend provenance registry	True	57	57	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S10	source_row_count::Accession-corrected caveat terminology registry	True	8	8	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S10	source_row_count::Cellular-localization claim-boundary matrix	True	6	6	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S10	source_row_count::Future accession validation rules	True	2	2	BLOCKING	The row-preserving union must match the locked source row count.
source_block	S10	source_row_count::Accession correction and preservation traceability	True	1	1	BLOCKING	The row-preserving union must match the locked source row count.
critical_column	S1	critical_nonmissing::GSE252321 four-sample biological design::sample_id	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE252321 four-sample biological design::condition	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE252321 four-sample biological design::analysis_unit	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE112098 validated 73-sample design::sample_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE112098 validated 73-sample design::sample_geo_accession	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE112098 validated 73-sample design::organism_ch1	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE186800 validated 20-sample recurrent-UTI design::sample_id	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE186800 validated 20-sample recurrent-UTI design::dataset_id	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE186800 validated 20-sample recurrent-UTI design::inferred_group	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE186800 validated 20-sample recurrent-UTI design::inferred_block	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE280297 validated 60-tissue-sample design::sample_id	True	60/60	60/60	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE280297 validated 60-tissue-sample design::tissue	True	60/60	60/60	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE280297 validated 60-tissue-sample design::treatment	True	60/60	60/60	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE280297 validated 60-tissue-sample design::outcome	True	60/60	60/60	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S1	critical_nonmissing::GSE280297 validated 60-tissue-sample design::pregnancy_status	True	60/60	60/60	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S2	critical_nonmissing::Frozen 78-submodule library::axis	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S2	critical_nonmissing::Frozen 78-submodule library::submodule_id	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S2	critical_nonmissing::Frozen 78-submodule library::display_label	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S2	critical_nonmissing::Frozen 78-submodule library::n_genes	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S2	critical_nonmissing::Frozen 78-submodule library::genes	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE112098 adjusted human comparator module effects::dataset_id	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE112098 adjusted human comparator module effects::contrast_name	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE112098 adjusted human comparator module effects::module_name	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE112098 adjusted human comparator module effects::direction	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE280297 factorial and tissue-specific module effects::contrast_id	True	810/810	810/810	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE280297 factorial and tissue-specific module effects::tissue	True	810/810	810/810	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE280297 factorial and tissue-specific module effects::feature_id	True	810/810	810/810	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE280297 factorial and tissue-specific module effects::direction	True	810/810	810/810	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE186800 block and interaction module effects::dataset	True	162/162	162/162	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE186800 block and interaction module effects::contrast_id	True	162/162	162/162	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE186800 block and interaction module effects::feature_id	True	162/162	162/162	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE186800 block and interaction module effects::effect_value	True	162/162	162/162	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE186800 block and interaction module effects::direction	True	162/162	162/162	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE252321 sample-level UPEC-versus-control module effects::dataset_id	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE252321 sample-level UPEC-versus-control module effects::contrast_name	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE252321 sample-level UPEC-versus-control module effects::module_name	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE252321 sample-level UPEC-versus-control module effects::unit	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S3	critical_nonmissing::GSE252321 sample-level UPEC-versus-control module effects::direction	True	20/20	20/20	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::feature_id	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::n_independent_datasets	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::weighted_directional_coherence	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S4	critical_nonmissing::Independent-dataset recurrence ranking::validation_class	True	78/78	78/78	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::dataset	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::tissue	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::feature_id	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::effect_value	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Tissue-resolved preterm-versus-term effects::direction	True	243/243	243/243	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::dataset	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::feature_id	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::effect_value	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Collapsed pregnancy-outcome effects::direction	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::feature_id	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::C1_PRETERM_VS_TERM | bladder	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::C2_UPEC_VS_PBS_PREGNANCY | bladder	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S5	critical_nonmissing::Full three-contrast tissue effect matrix::C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	True	81/81	81/81	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::sample_id	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::condition	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::n_cells	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Flat-matrix and per-sample single-cell QC::adaptive_qc_pass_cells	True	4/4	4/4	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Cluster top-marker table::cluster	True	450/450	450/450	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Cluster top-marker table::rank	True	450/450	450/450	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Cluster top-marker table::gene_symbol	True	450/450	450/450	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::sample_id	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::condition	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::broad_cell_type	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::n_cells	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Broad-cell sample composition::fraction_of_QC_cells	True	32/32	32/32	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::sample_id	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::condition	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::refined_cell_subtype	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::n_cells	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S6	critical_nonmissing::Refined-subtype sample composition::fraction_of_QC_cells	True	72/72	72/72	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Broad-cell localization summary::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Broad-cell localization summary::n_complete_populations	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Broad-cell localization summary::directional_coherence_fraction	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Core-module cellular localization::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Core-module cellular localization::n_complete_populations	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Core-module cellular localization::directional_coherence_fraction	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Refined-subtype localization summary::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Refined-subtype localization summary::n_complete_populations	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S7	critical_nonmissing::Refined-subtype localization summary::directional_coherence_fraction	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Core complement and endocrine-metabolic cellular attribution::feature_id	True	10/10	10/10	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Core complement and endocrine-metabolic cellular attribution::top_population_by_composite_score	True	10/10	10/10	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Core complement and endocrine-metabolic cellular attribution::cellular_localization_class	True	10/10	10/10	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
critical_column	S8	critical_nonmissing::Module-level cellular synthesis across immune populations::feature_id	True	73/73	73/73	BLOCKING	Critical identifiers and analysis fields must be complete inside their native source block.
