supplementary_table	table_title	source_sequence	source_role	source_path	source_relative_path	source_status	assembly_mode	selection_rationale	final_user_confirmation_required
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	2	Independent-dataset recurrence ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Independent-dataset recurrence ranking	False
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	3	Evidence-weighted synthesis panel support	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Evidence-weighted synthesis panel support	False
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	1	Tissue-resolved preterm-versus-term effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Tissue-resolved preterm-versus-term effects	False
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	2	Collapsed pregnancy-outcome effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Collapsed pregnancy-outcome effects	False
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	3	Full three-contrast tissue effect matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Full three-contrast tissue effect matrix	False
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	1	Flat-matrix and per-sample single-cell QC	project://06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_flat_matrix_QC.tsv	06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_flat_matrix_QC.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Flat-matrix and per-sample single-cell QC	False
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	2	Cluster top-marker table	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Cluster top-marker table	False
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	3	Broad-cell sample composition	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_celltype_composition.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_celltype_composition.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Broad-cell sample composition	False
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	4	Refined-subtype sample composition	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Refined-subtype sample composition	False
S7	Broad-cell and refined-subtype pseudobulk module localization results.	1	Broad-cell localization summary	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Broad-cell localization summary	False
S7	Broad-cell and refined-subtype pseudobulk module localization results.	2	Core-module cellular localization	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Core-module cellular localization	False
S7	Broad-cell and refined-subtype pseudobulk module localization results.	3	Refined-subtype localization summary	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Refined-subtype localization summary	False
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	1	Core complement and endocrine-metabolic cellular attribution	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Core complement and endocrine-metabolic cellular attribution	False
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	2	Module-level cellular synthesis across immune populations	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Module-level cellular synthesis across immune populations	False
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	1	Frozen Figure 1-8 asset manifest	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Frozen Figure 1-8 asset manifest	False
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	2	Figure and panel title registry	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Figure and panel title registry	False
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	3	Accession-corrected panel legend provenance registry	project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_panel_legend_provenance_registry.tsv	03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_panel_legend_provenance_registry.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Accession-corrected panel legend provenance registry	False
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	1	Accession-corrected caveat terminology registry	project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_caveat_terminology_registry.tsv	03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_caveat_terminology_registry.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Accession-corrected caveat terminology registry	False
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	2	Cellular-localization claim-boundary matrix	project://03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_claim_boundary_matrix.tsv	03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_claim_boundary_matrix.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Cellular-localization claim-boundary matrix	False
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	3	Future accession validation rules	project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_accession_validation_rules.tsv	03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_accession_validation_rules.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Future accession validation rules	False
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	4	Accession correction and preservation traceability	project://06_tables/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_preservation_and_accession_audit.tsv	06_tables/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_preservation_and_accession_audit.tsv	LOCKED_HIGH_CONFIDENCE	ROW_PRESERVING_UNION_WITH_PROVENANCE	Accession correction and preservation traceability	False
