order	section_number	paragraph_type	style	text	word_count
10	4	subheading	Heading 2	Single-cell reconstruction localizes recurrent modules to specific immune compartments	9
11	4	body	Normal	The four GSE252321 samples contained 28,313 cells, of which 27,385 passed quality control. Marker-based reconstruction resolved 18 clusters that were consolidated into six broad immune populations and 14 refined subtypes, including LY6C2-VCAN inflammatory monocytes, RETNLA-MRC1 reparative macrophages, CD83-CLEC10A activated dendritic cells and MKI67-TOP2A cycling immune cells. Because the biological design comprised two control and two UPEC samples, all composition and localization results were treated as descriptive biological-replicate summaries rather than cell-level independent tests (Figure 4A-D).	77
12	4	body	Normal	UPEC exposure was associated with a larger neutrophil fraction (difference, +0.210) and macrophage/monocyte fraction (+0.097), accompanied by lower T-cell (-0.132), dendritic-cell (-0.103), cycling-immune (-0.036), NK-cell (-0.025) and mast-cell (-0.010) fractions. Within T cells, the strict Treg-like fraction increased from 0.017 in controls to 0.083 in UPEC samples. Within macrophage/monocytes, the TNFSF9-positive fraction increased from 0.171 to 0.304, and the prespecified TNFSF9-high fraction increased from 0.037 to 0.080 (Figure 4C-F).	84
13	4	body	Normal	Cell-type pseudobulk scoring localized the recurrent modules to distinct immune compartments. C3a/C5a signaling showed coherent pan-immune support with strongest localization to dendritic and cDC1-like states; glycogen synthesis was broadly coherent and strongest in neutrophils or inflammatory monocytes; IRS signaling was strongest in T-cell and regulatory-like T-cell compartments; androgen-receptor signaling was strongest in dendritic and cDC2-like states; and TLR4-LPS signaling showed a lymphoid-weighted pattern with strongest refined support in activated T cells. Opsonophagocytosis was predominantly myeloid and strongest in activated dendritic cells. These localizations are hypothesis-generating: with n=2 samples per group, the minimum attainable exact two-sided permutation p-value was 0.333 (Figure 4G,H).	105
14	5	subheading	Heading 2	Steroid, cholesterol and lipid programs separate synthesis from response	9
15	5	body	Normal	Focused endocrine analysis confirmed that the pregnancy-associated steroid pattern was organized across distinct branches rather than along a single activation axis. Steroidogenesis, androgen/testosterone synthesis, estrogen synthesis and interconversion, cholesterol biosynthesis and handling, and androgen, estrogen and glucocorticoid response programs displayed different directions across infection, pregnancy and tissue contexts. The infection-versus-pregnancy comparison consequently separated synthesis-associated effects from receptor-response effects and reinforced the synthesis-response decoupling model (Figure 5A-D).	67
16	5	body	Normal	Cellular localization added a compartmental dimension to this endocrine architecture. Androgen-receptor signaling showed broad immune support with strongest refined localization in cDC2-like cells, whereas cholesterol and lipid-regulatory programs varied among dendritic, macrophage/monocyte, neutrophil, lymphoid and cycling compartments. Lipid-droplet dynamics, PPAR/SREBP/LXR regulation, ferroptosis-linked lipid peroxidation, fatty-acid synthesis and beta-oxidation, phospholipid metabolism, sphingolipid/ceramide metabolism and eicosanoid/prostaglandin metabolism were context dependent. Fatty-acid synthesis was especially branch divergent, with strongest broad support in cycling immune cells and strongest refined support in regulatory/type-2-like T cells (Figure 5E-G).	88
17	6	subheading	Heading 2	Adipokine, insulin and metabolic programs define a broader immunometabolic response	10
18	6	body	Normal	The focused immunometabolic analysis positioned leptin, insulin receptor/IRS and PI3K-AKT signaling at the interface between innate sensing and metabolic adaptation. Leptin and PI3K-AKT were recurrently positive in infection contexts but attenuated in the preterm-versus-term comparison, whereas IRS signaling showed broad cellular coherence with strongest localization in T-cell and regulatory-like T-cell compartments. The integrated topology therefore supports coordinated, context-dependent coupling among adipokine signaling, insulin-response machinery, TLR4-LPS sensing and downstream carbon-use programs, without establishing a direct causal sequence (Figure 6A-E).	79
19	6	body	Normal	Transcriptionally inferred carbon-use programs included glycolysis, lactate/HIF1A signaling, glycogen synthesis, pentose-phosphate activity, gluconeogenic and tricarboxylic-acid-cycle modules. Glycogen synthesis showed coherent pan-immune support, with strongest broad localization in neutrophils and strongest refined localization in inflammatory monocytes. The remaining carbon programs varied across pregnancy, tissue and infection contrasts, indicating flexible pathway deployment rather than a single universal metabolic state (Figure 6F).	60
20	6	body	Normal	Amino-acid, nitrogen, nucleotide and redox modules extended this metabolic architecture. Amino-acid transport was context dependent, with strongest broad localization in dendritic cells and strongest refined localization in cytotoxic NK cells. Arginine/nitric-oxide and urea-cycle biology, glutamine and tryptophan metabolism, methionine/SAM and serine/glycine/one-carbon pathways, purine and pyrimidine metabolism, NAD biology, xanthine-oxidase-linked oxidative purine catabolism and NRF2-redox programs all showed contrast-specific remodeling. These modules represent transcriptionally inferred pathway activity and do not measure metabolite concentrations, reaction rates or metabolic flux (Figure 6G,H).	84
21	7	subheading	Heading 2	Complement remodeling is branch-selective and cell-context dependent	7
22	7	body	Normal	Complement-specific reconstruction resolved classical, lectin and alternative initiation, C3 convertase and amplification, C3a/C5a signaling, opsonophagocytosis, terminal membrane-attack-complex biology, complement regulation and coagulation crosstalk. The branches differed across independent infection and pregnancy contrasts, arguing against a simple global complement activation model. C3a/C5a signaling and opsonophagocytosis provided the most recurrent cross-context support, although both remained provisional where independent sample support was limited (Figure 7A,B,E,F).	67
23	7	body	Normal	Cellular attribution further separated inflammatory and effector branches. C3a/C5a signaling was broadly distributed and strongest in dendritic or cDC1-like states, whereas opsonophagocytosis was myeloid weighted and strongest in activated dendritic cells. Seven of nine complement modules had eligible cell-level support; lectin-pathway and terminal membrane-attack-complex modules were not represented in the cell-level matrix and should therefore be considered unavailable rather than biologically absent. The resulting complement architecture links branch-specific tissue effects to distinct cellular compartments (Figure 7C,D,G).	79
24	8	subheading	Heading 2	Integrated evidence separates recurrent, provisional and contextual UTI biology	9
25	8	body	Normal	Across the complete atlas, UPEC/TLR4 signaling converged with leptin-IRS-PI3K/AKT activity, complement and opsonophagocytosis, steroid and lipid branching, and carbon, nitrogen and redox remodeling. These programs were distributed across expanded neutrophil and macrophage/monocyte compartments, activated dendritic states, lymphoid signaling niches, TNFSF9-positive macrophages and regulatory-inflammatory Treg-like states. Pregnancy and tissue context altered the relative balance among these branches rather than creating a single uniformly activated host state (Figure 8A-E).	70
26	8	body	Normal	The final evidence model therefore distinguishes a robust recurrent core from provisional and context-divergent biology. TLR4-LPS, leptin and PI3K-AKT constitute the strongest recurrent infection-associated framework; complement C3a/C5a signaling and opsonophagocytosis remain provisional recurrent features; pregnancy-associated steroid biology is best described as branch-selective synthesis-response decoupling; and the single-cell layer localizes these programs without overcoming the limited biological replication. The integrated network is an evidence-weighted synthesis rather than a direct causal model, and all metabolic interpretations refer to transcriptionally inferred pathway activity rather than flux (Figure 8F).	86
