axis	submodule_id	display_label	n_genes	genes	biological_readout	priority_weight	proposed_figure_family
steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	14	CRH;CYP11A1;CYP19A1;CYP21A2;GPER1;HSD11B2;HSD17B1;HSD17B2;HSD3B1;NR3C1;PGR;STAR;STS;SULT1E1	placental steroid production, conversion and fetal glucocorticoid protection	5	Figure_7
steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	12	ABCA1;ABCG1;APOE;CYP7A1;NR0B2;NR1H2;NR1H3;NR1H4;RXRA;RXRB;SHP;SREBF1	sterol-sensing nuclear receptor activity	4	Figure_7
lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	14	ACACA;ACACB;ACLY;ACSL3;ACSL4;ELOVL1;ELOVL5;ELOVL6;ELOVL7;FASN;ME1;MLXIPL;SCD;SREBF1	lipogenic carbon allocation and membrane precursor synthesis	5	Figure_7
lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	16	ACADL;ACADM;ACADS;ACOX1;CPT1A;CPT1B;CPT1C;CPT2;ECHS1;ETFA;ETFB;ETFDH;HADHA;HADHB;PPARA;PPARGC1A	mitochondrial and peroxisomal fatty-acid oxidation	5	Figure_7
lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	16	CEPT1;CHKA;CHKB;CHPT1;LPCAT1;LPCAT2;LPCAT3;LPCAT4;PCYT1A;PCYT1B;PEMT;PISD;PLA2G4A;PLA2G6;PLD1;PLD2	membrane phospholipid synthesis and remodeling	4	Figure_7
lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	20	ASAH1;CERS1;CERS2;CERS3;CERS4;CERS5;CERS6;DEGS1;KDSR;SGMS1;SGMS2;SGPL1;SMPD1;SMPD2;SMPD3;SPHK1;SPHK2;SPTLC1;SPTLC2;SPTLC3	ceramide, sphingosine and sphingosine-1-phosphate balance	5	Figure_7
lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	17	ALOX12;ALOX15;ALOX5;ALOX5AP;CYP4F2;HPGD;HPGDS;LTA4H;LTC4S;PLA2G4A;PTGDS;PTGES;PTGES2;PTGES3;PTGS1;PTGS2;TBXAS1	inflammatory lipid mediator generation and termination	5	Figure_7
lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	15	ABHD5;CIDEA;CIDEC;DGAT1;DGAT2;FITM2;LIPE;PLIN1;PLIN2;PLIN3;PLIN4;PLIN5;PNPLA2;SOAT1;SOAT2	neutral-lipid storage, mobilization and stress buffering	4	Figure_7
lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	16	ABCA1;ABCG1;FABP4;INSIG1;INSIG2;LPL;NR1H2;NR1H3;PPARA;PPARD;PPARG;RXRA;RXRB;SCAP;SREBF1;SREBF2	lipid-sensing transcriptional control	5	Figure_7
lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	16	ACSL4;AIFM2;ALOX12;ALOX15;DHODH;FTH1;FTL;GCH1;GPX4;HMOX1;LPCAT3;NCOA4;SAT1;SLC40A1;SLC7A11;TFRC	oxidized phospholipid accumulation and ferroptosis defense	5	Figure_7
carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	18	ALDOA;ALDOB;ALDOC;ENO1;ENO2;GAPDH;GPI;HK1;HK2;LDHA;PFKL;PFKM;PFKP;PGAM1;PGK1;PKM;SLC2A1;TPI1	transcriptionally inferred glycolytic program	5	Figure_8
carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	12	FBP1;FBP2;FOXO1;G6PC;G6PC2;G6PC3;MLXIPL;PC;PCK1;PCK2;PGM1;SLC37A4	glucose-producing and glucose-6-phosphate handling program	4	Figure_8
carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	10	GBE1;GYS1;GYS2;PGM1;PGM2;PPP1R3A;PPP1R3B;PPP1R3C;PPP1R3D;UGP2	glycogen storage program	4	Figure_8
carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	12	AGL;CALM1;CALM2;PGM1;PHKA1;PHKA2;PHKB;PHKG1;PHKG2;PYGB;PYGL;PYGM	glycogen mobilization program	4	Figure_8
carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	10	G6PD;PGD;PGLS;PRPS1;PRPS2;RPE;RPIA;TALDO1;TKT;TKTL1	NADPH and ribose-phosphate-generating program	5	Figure_8
carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	23	ACO2;ATP5F1A;ATP5F1B;COX4I1;CS;DLST;FH;IDH3A;IDH3B;IDH3G;MDH2;NDUFS1;NDUFS2;NDUFV1;OGDH;SDHA;SDHB;SDHC;SDHD;SUCLG1;SUCLG2;UQCRC1;UQCRC2	mitochondrial oxidative carbon metabolism	5	Figure_8
carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	15	BNIP3;BNIP3L;EGLN1;EGLN3;EPAS1;HIF1A;HK2;LDHA;PDK1;PDK3;PFKFB3;PFKFB4;SLC16A1;SLC16A3;VEGFA	hypoxia-responsive inflammatory carbohydrate-metabolism program	5	Figure_8
carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	15	ACACA;ACACB;CAB39;CAMKK2;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3;STK11;STRADA;TSC2;ULK1	energy-stress sensing and catabolic counter-regulation	5	Figure_8
carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	19	AKT1;EIF4EBP1;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MLST8;MTOR;RHEB;RICTOR;RPS6KB1;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;TSC1;TSC2	nutrient-sensing anabolic signaling	5	Figure_8
carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	12	SLC2A1;SLC2A10;SLC2A13;SLC2A14;SLC2A2;SLC2A3;SLC2A4;SLC2A5;SLC2A6;SLC2A8;SLC5A1;SLC5A2	cellular glucose and hexose uptake	4	Figure_8
carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	16	AGER;CYBB;DIAPH1;HMGB1;IL6;MAPK1;MAPK3;NFKB1;NOX1;RAC1;RELA;S100A12;S100A8;S100A9;S100B;TNF	glycation-associated inflammatory signaling	4	Figure_8
insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	18	AKT1;AKT2;FOXO1;GRB2;GSK3B;INSR;IRS1;IRS2;IRS4;PDPK1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;SHC1;SLC2A4;SOS1;TBC1D4	proximal insulin receptor signaling and glucose-handling response	5	Figure_8
insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	17	AKT1;AKT2;AKT3;FOXO1;FOXO3;GSK3B;PDPK1;PHLPP1;PHLPP2;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R5;PTEN	growth, survival and immunometabolic signal integration	5	Figure_8
insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	13	AKT1;DEPTOR;EIF4EBP1;INSR;IRS1;IRS2;MLST8;MTOR;RHEB;RPS6KB1;RPTOR;TSC1;TSC2	insulin-linked anabolic output	5	Figure_8
insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	10	ACACA;FOXO1;IRS1;PPARGC1A;PRKAA1;PRKAA2;RPTOR;SIRT1;STK11;TSC2	energy-stress opposition to insulin-mTOR activity	4	Figure_8
adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	12	JAK2;LEP;LEPR;MAPK1;MAPK3;PIAS3;PTPN1;SH2B1;SOCS3;STAT3;STAT5A;STAT5B	leptin-JAK-STAT inflammatory and metabolic signaling	5	Figure_8
adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	11	ADIPOQ;ADIPOR1;ADIPOR2;APPL1;APPL2;CAMKK2;PPARA;PPARG;PPARGC1A;PRKAA1;PRKAA2	adiponectin-linked insulin sensitization and fatty-acid oxidation	5	Figure_8
adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF	resistin-associated innate inflammatory activation	4	Figure_8
adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	CCL2;CXCL8;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF	adipose-linked inflammatory mediator program	5	Figure_8
adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4	PPARG-centered adipometabolic differentiation and lipid handling	4	Figure_8
amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	AADAT;ACMSD;AFMID;CCBL1;CCBL2;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2	immunoregulatory tryptophan depletion and kynurenine production	5	Figure_9
amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5	arginine allocation between nitric oxide, polyamine and urea pathways	5	Figure_9
amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	ASNS;GLS;GLS2;GLUD1;GLUD2;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	glutamine uptake, anaplerosis and nitrogen transfer	5	Figure_9
amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS	one-carbon supply for redox balance, methylation and nucleotide synthesis	5	Figure_9
amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR	methyl-donor generation and transsulfuration coupling	5	Figure_9
amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K	BCAA catabolism and immunometabolic carbon entry	4	Figure_9
amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;PAH;TAT;TH;TPH1;TPH2	tyrosine, phenylalanine and tryptophan-derived metabolite handling	4	Figure_9
amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8	cellular amino-acid acquisition and exchange	5	Figure_9
catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH	host catecholamine production, transport and clearance	4	Figure_9
catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA	alpha- and beta-adrenergic stress response	4	Figure_9
catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	COMT;CP;CYBB;FTH1;FTL;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	host iron sequestration and redox context adjacent to catecholamine biology	5	Figure_9
nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	ADSL;ADSS1;ADSS2;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	purine nucleotide production for proliferation and stress responses	5	Figure_9
nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;HPRT1;NT5E;PNP	purine recycling and extracellular nucleotide handling	4	Figure_9
nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH	purine catabolism, xanthine oxidation and urate transport	5	Figure_9
nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	CAD;CMPK1;CTPS1;CTPS2;DHODH;NME1;RRM1;RRM2;RRM2B;TK1;TYMS;UMPS	pyrimidine nucleotide generation	5	Figure_9
nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	10	CDA;DCTD;DPYD;DPYS;NT5C;NT5C2;TYMP;UPB1;UPP1;UPP2	pyrimidine turnover and nucleoside degradation	4	Figure_9
nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	16	BST1;CD38;ENPP1;KYNU;NADSYN1;NAMPT;NAPRT;NMNAT1;NMNAT2;NMNAT3;PARP1;PARP2;QPRT;SIRT1;SIRT2;SIRT3	NAD synthesis, consumption and inflammatory signaling	5	Figure_9
nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	10	ARG1;ARG2;ASL;ASS1;CPS1;NAGS;OAT;OTC;SLC25A13;SLC25A15	nitrogen disposal and arginine regeneration	5	Figure_9
nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	14	ARG1;ARG2;ASL;ASS1;DDAH1;DDAH2;GCH1;GCHFR;NOS1;NOS2;NOS3;PRMT1;SLC7A1;SLC7A2	nitric-oxide production and substrate/cofactor control	5	Figure_9
nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	13	ADA;AOX1;CAT;CYBA;CYBB;GPX1;HMOX1;NCF1;NCF2;PNP;SOD1;SOD2;XDH	purine-linked reactive oxygen production and antioxidant response	5	Figure_9
complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	10	C1QA;C1QB;C1QC;C1R;C1S;C2;C3;C4A;C4B;SERPING1	antibody- and C1q-linked complement initiation	5	Figure_10
complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	12	C2;C4A;C4B;COLEC10;COLEC11;FCN1;FCN2;FCN3;MASP1;MASP2;MASP3;MBL2	pattern-recognition lectin pathway initiation	5	Figure_10
complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	11	C3;CFB;CFD;CFH;CFHR1;CFHR2;CFHR3;CFHR4;CFHR5;CFI;CFP	alternative pathway initiation and amplification	5	Figure_10
complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	10	C2;C3;C4A;C4B;CFB;CFD;CFH;CFI;CFP;CR1	formation and regulation of C3-cleaving complexes	5	Figure_10
complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	10	C5;C6;C7;C8A;C8B;C8G;C9;CD59;CLU;VTN	terminal complement assembly and membrane attack	5	Figure_10
complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	12	C4BPA;C4BPB;CD46;CD55;CD59;CFH;CFI;CLU;CR1;CR2;SERPING1;VTN	protection from excessive complement activation	5	Figure_10
complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	16	C3;C5;F10;F11;F2;F3;F5;F7;KLKB1;KNG1;PLG;PROC;PROS1;SERPINE1;THBD;VWF	coupling of complement, coagulation, fibrinolysis and endothelial activation	5	Figure_10
complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	14	C1QA;C1QB;C1QC;C3;C4B;CR1;CR2;FCGR1A;FCGR2A;FCGR3A;ITGAM;ITGB2;LILRB1;TYROBP	complement deposition and phagocyte recognition	5	Figure_10
complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	12	C3;C3AR1;C5;C5AR1;C5AR2;CXCL8;GNAI2;IL1B;MAPK1;MAPK3;NLRP3;TNF	anaphylatoxin-driven leukocyte recruitment and inflammatory amplification	5	Figure_10
immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	15	CD14;IRAK1;IRAK4;IRF3;LBP;LY96;MYD88;NFKB1;RELA;TBK1;TICAM1;TICAM2;TIRAP;TLR4;TRAF6	UPEC/LPS-responsive innate sensing context	5	Integrated_network
immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	16	CCL2;CXCL8;IKBKB;IKBKG;IL1B;IL6;MAPK1;MAPK14;MAPK3;MAPK8;NFKB1;NFKB2;NFKBIA;RELA;RELB;TNF	central inflammatory transcriptional context	5	Integrated_network
immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	16	CSF3R;CTSG;CXCR2;CYBB;ELANE;FCGR3B;FPR1;LCN2;LTF;MPO;NCF1;NCF2;PADI4;PRTN3;S100A8;S100A9	neutrophil recruitment, granule activity and NET-associated machinery	5	Integrated_network
immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	13	CAT;GCLC;GCLM;GPX1;HMOX1;KEAP1;NFE2L2;NQO1;PRDX1;SOD1;SOD2;SRXN1;TXNRD1	antioxidant and oxidative-stress adaptation	5	Integrated_network
immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	16	AREG;CLDN4;CLDN7;EGFR;EPCAM;KRT14;KRT18;KRT19;KRT5;KRT8;OCLN;TJP1;UPK1A;UPK1B;UPK2;UPK3A	urothelial differentiation, junctional integrity and repair	5	Integrated_network
immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	15	CCL2;CRH;CXCL8;ESR1;HIF1A;HSD11B2;IL1B;IL6;LEPR;NFKB1;PGR;PTGS2;RELA;SERPINE1;TNF	pregnancy-linked endocrine-inflammatory context	5	Integrated_network
