dataset	contrast_id	biological_context	evidence_tier	group_a	group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	p_value	q_value	fdr_0_10	direction	n_group_a	n_group_b	fdr_bool	interpretation_boundary
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	0.4065644545071106	standardized_module_score_beta	0.1688779568079832	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	Figure_9	0.3615158687555982	standardized_module_score_beta	0.1753192320908798	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9	0.3087327367219701	standardized_module_score_beta	0.1411140959701896	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network	0.4161609525176347	standardized_module_score_beta	0.1293909740902796	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	Integrated_network	0.4753299449106373	standardized_module_score_beta	0.1473699630848723	0.8859771442044103	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	-0.2468396274720878	standardized_module_score_beta	0.1590095031730515	0.8859771442044103	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	Figure_7	0.3218612867915218	standardized_module_score_beta	0.2492547367603919	0.961937029987778	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	Figure_8	0.1603285682816428	standardized_module_score_beta	0.2493910818486831	0.961937029987778	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	0.3127026686919976	standardized_module_score_beta	0.2197934316098397	0.961937029987778	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	Figure_9	0.2138237686867817	standardized_module_score_beta	0.2405083416384731	0.961937029987778	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	0.2178193936313995	standardized_module_score_beta	0.4204106224697505	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.1553323569086955	standardized_module_score_beta	0.6894892097765942	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	Figure_7	0.0742479505870057	standardized_module_score_beta	0.8016066164541513	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	Figure_7	0.0287303094393315	standardized_module_score_beta	0.8821668901787219	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	-0.1201038831705044	standardized_module_score_beta	0.6749346853697242	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.1608447443116968	standardized_module_score_beta	0.6916099632578963	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	Figure_7	-0.0947083961842276	standardized_module_score_beta	0.758521773179291	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7	0.2819063942991264	standardized_module_score_beta	0.3670747250956581	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	Figure_7	0.0223602009723178	standardized_module_score_beta	0.8768621267601503	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	-0.10212563338648	standardized_module_score_beta	0.6873623298070769	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.052084553637761	standardized_module_score_beta	0.892796344740034	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	0.1411338744761342	standardized_module_score_beta	0.6322872142852898	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	Figure_8	0.2716488419323392	standardized_module_score_beta	0.3717332686174623	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	-0.2986455739275258	standardized_module_score_beta	0.2648602341885427	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	-0.053013306887907	standardized_module_score_beta	0.8704092636145169	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	0.1854887489338802	standardized_module_score_beta	0.6123212698512819	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	0.0830032069734642	standardized_module_score_beta	0.6294170586016388	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.2375834649341481	standardized_module_score_beta	0.5653158133912318	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	-0.198288435594978	standardized_module_score_beta	0.6469657472108354	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	0.100405918466661	standardized_module_score_beta	0.7804945537372815	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	-0.142492214030694	standardized_module_score_beta	0.7679681656594822	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.146573459625967	standardized_module_score_beta	0.6762337037867523	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	-0.2816646430431453	standardized_module_score_beta	0.4373778683944598	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.2121739856013602	standardized_module_score_beta	0.3599989882958382	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.0706054183798856	standardized_module_score_beta	0.7887620637565852	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	0.0679608400498372	standardized_module_score_beta	0.8201045714694628	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	0.1130426895528308	standardized_module_score_beta	0.6614245809033507	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	-0.1755262225372713	standardized_module_score_beta	0.5880844186803171	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	0.2845048664332391	standardized_module_score_beta	0.3605285036082376	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.2218339070163325	standardized_module_score_beta	0.5342041073687365	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	Figure_9	-0.0420226731668344	standardized_module_score_beta	0.8506075727109605	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	Figure_9	-0.1711191251399664	standardized_module_score_beta	0.5688850495168379	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	Figure_9	0.3282895247658357	standardized_module_score_beta	0.3534576853601946	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	Figure_9	0.1163142594345901	standardized_module_score_beta	0.6813075900790668	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	Figure_9	0.1590799381437962	standardized_module_score_beta	0.64688207668973	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	Figure_9	0.3184490569876965	standardized_module_score_beta	0.3043170966647341	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	Figure_9	-0.0964063753232652	standardized_module_score_beta	0.6958822599507617	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	Figure_9	0.186951051828617	standardized_module_score_beta	0.5049149389522504	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	Figure_9	0.221060963439038	standardized_module_score_beta	0.3066937711871081	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	-0.1185335331882655	standardized_module_score_beta	0.7395606122764928	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	0.1571219415627941	standardized_module_score_beta	0.6435604576077077	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	0.1331458248212296	standardized_module_score_beta	0.6872610706832223	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	-0.2177885585142472	standardized_module_score_beta	0.548486755576449	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	0.039192730513861	standardized_module_score_beta	0.902400640947228	0.9745926922230064	False	positive			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
GSE186800	GSE186800_BLOCK_MAIN_PBS	bladder_exposure_recurrence_model	independent_mouse_bulk	PBS_block2_vs_block1	reference	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	-0.0551538810052848	standardized_module_score_beta	0.8497079988768247	0.9745926922230064	False	negative			False	Exposure-stage or experimental-block difference among PBS controls; not a Gardnerella treatment effect.
