source_path	classification	wrong_accession_occurrences	disposition	historical_file_modified
project://09_manuscript_docx/phaseU27B3E1_reference_supplement_submission_architecture/UTI_HostOmics_preZotero_manuscript_v6_2_U27B3E1_submission_architecture_cleaned.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	7	CORRECTED_IN_V6_3_DERIVATIVE	False
project://07_manuscript/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_definitive_figure_legends.docx	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	CORRECTED_IN_U27B3E22_LEGEND_PACKAGE	False
project://07_manuscript/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_definitive_figure_legends.md	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	CORRECTED_IN_U27B3E22_LEGEND_PACKAGE	False
project://07_manuscript/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_manuscript_legend_insert.txt	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	CORRECTED_IN_U27B3E22_LEGEND_PACKAGE	False
project://06_tables/phaseU27B3C2_results_section_reconstruction/UTI_HostOmics_U27B3C2_results_content_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3C2_results_section_reconstruction/UTI_HostOmics_U27B3C2_results_paragraph_manifest.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_results_scientific_content_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	2	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3C3_results_visual_scientific_audit/UTI_HostOmics_U27B3C3_results_scientific_content_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	2	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3C41_integrated_figure_section_cleanup/UTI_HostOmics_U27B3C41_nonblocking_section_harmonization_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D11_corrected_manuscript_wide_audit/UTI_HostOmics_U27B3D11_direct_figure_caption_inventory.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D11_corrected_manuscript_wide_audit/UTI_HostOmics_U27B3D11_obsolete_term_path_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D11_corrected_manuscript_wide_audit/UTI_HostOmics_U27B3D11_section_treatment_map.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D1_manuscript_wide_content_structure_audit/UTI_HostOmics_U27B3D1_availability_statement_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D1_manuscript_wide_content_structure_audit/UTI_HostOmics_U27B3D1_dataset_section_consistency_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	20	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D1_manuscript_wide_content_structure_audit/UTI_HostOmics_U27B3D1_document_element_inventory.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	2	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D1_manuscript_wide_content_structure_audit/UTI_HostOmics_U27B3D1_obsolete_term_path_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D1_manuscript_wide_content_structure_audit/UTI_HostOmics_U27B3D1_section_treatment_map.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D2_manuscript_wide_v6_reconstruction/UTI_HostOmics_U27B3D2_content_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3D3_v6_1_visual_scientific_audit/UTI_HostOmics_U27B3D3_scientific_content_audit.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	2	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3E1_reference_supplement_submission_architecture/UTI_HostOmics_U27B3E1_supplementary_table_manifest.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://06_tables/phaseU27B3E2_reference_frontmatter_supplement_source_confirmation/UTI_HostOmics_U27B3E2_supplementary_source_confirmation_summary.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	CORRECTED_OR_SUPERSEDED_BY_U27B3E22_SOURCE_MAP	False
project://06_tables/phaseU27B3E2_reference_frontmatter_supplement_source_confirmation/UTI_HostOmics_U27B3E2_supplementary_source_lock_map.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	3	CORRECTED_OR_SUPERSEDED_BY_U27B3E22_SOURCE_MAP	False
project://05_results/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_audited_results_section.txt	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://05_results/phaseU27B3C3_results_visual_scientific_audit/UTI_HostOmics_U27B3C3_audited_results_section.txt	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	HISTORICAL_ARTIFACT_RETAINED_READ_ONLY_AND_SUPERSEDED	False
project://03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_panel_legend_provenance_registry.tsv	MANUSCRIPT_FIGURE_LEGEND_OR_AUDIT	1	CORRECTED_IN_U27B3E22_LEGEND_PACKAGE	False
