axis_group	source_name	axis_modules	overlap_modules	overlap_feature_ids
adipokine_insulin	module_cellular_synthesis	9	9	ADIPOKINE_INFLAMMATORY_AXIS;ADIPONECTIN_SIGNALING;AMPK_INSULIN_COUNTERREGULATION;INSULIN_RECEPTOR_IRS;LEPTIN_SIGNALING;MTORC1_INSULIN_OUTPUT;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;RESISTIN_INFLAMMATORY_SIGNALING
adipokine_insulin	full_GSE280297_matrix	9	9	ADIPOKINE_INFLAMMATORY_AXIS;ADIPONECTIN_SIGNALING;AMPK_INSULIN_COUNTERREGULATION;INSULIN_RECEPTOR_IRS;LEPTIN_SIGNALING;MTORC1_INSULIN_OUTPUT;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;RESISTIN_INFLAMMATORY_SIGNALING
carbon	primary_independent_effects	11	11	AGE_RAGE_SIGNALING;AMPK_SIGNALING;GLUCONEOGENESIS;GLUCOSE_TRANSPORT;GLYCOGENOLYSIS;GLYCOGEN_SYNTHESIS;GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;MTOR_SIGNALING;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS
carbon	broad_effect_reliability	11	11	AGE_RAGE_SIGNALING;AMPK_SIGNALING;GLUCONEOGENESIS;GLUCOSE_TRANSPORT;GLYCOGENOLYSIS;GLYCOGEN_SYNTHESIS;GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;MTOR_SIGNALING;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS
carbon	module_cellular_synthesis	11	11	AGE_RAGE_SIGNALING;AMPK_SIGNALING;GLUCONEOGENESIS;GLUCOSE_TRANSPORT;GLYCOGENOLYSIS;GLYCOGEN_SYNTHESIS;GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;MTOR_SIGNALING;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS
carbon	full_GSE280297_matrix	11	11	AGE_RAGE_SIGNALING;AMPK_SIGNALING;GLUCONEOGENESIS;GLUCOSE_TRANSPORT;GLYCOGENOLYSIS;GLYCOGEN_SYNTHESIS;GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;MTOR_SIGNALING;PENTOSE_PHOSPHATE_PATHWAY;TCA_OXPHOS
amino	primary_independent_effects	8	8	AMINO_ACID_TRANSPORT;ARGININE_NO_UREA;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS;GLUTAMINE_GLUTAMATE;METHIONINE_SAM_METHYLATION;SERINE_GLYCINE_ONE_CARBON;TRYPTOPHAN_KYNURENINE
amino	broad_effect_reliability	8	8	AMINO_ACID_TRANSPORT;ARGININE_NO_UREA;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS;GLUTAMINE_GLUTAMATE;METHIONINE_SAM_METHYLATION;SERINE_GLYCINE_ONE_CARBON;TRYPTOPHAN_KYNURENINE
amino	module_cellular_synthesis	8	8	AMINO_ACID_TRANSPORT;ARGININE_NO_UREA;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS;GLUTAMINE_GLUTAMATE;METHIONINE_SAM_METHYLATION;SERINE_GLYCINE_ONE_CARBON;TRYPTOPHAN_KYNURENINE
amino	full_GSE280297_matrix	8	8	AMINO_ACID_TRANSPORT;ARGININE_NO_UREA;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS;GLUTAMINE_GLUTAMATE;METHIONINE_SAM_METHYLATION;SERINE_GLYCINE_ONE_CARBON;TRYPTOPHAN_KYNURENINE
nucleotide_nitrogen	primary_independent_effects	9	9	NAD_METABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;PURINE_DEGRADATION_URATE;PURINE_DE_NOVO_SYNTHESIS;PURINE_SALVAGE;PYRIMIDINE_DEGRADATION;PYRIMIDINE_SYNTHESIS;UREA_CYCLE;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM
nucleotide_nitrogen	broad_effect_reliability	9	9	NAD_METABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;PURINE_DEGRADATION_URATE;PURINE_DE_NOVO_SYNTHESIS;PURINE_SALVAGE;PYRIMIDINE_DEGRADATION;PYRIMIDINE_SYNTHESIS;UREA_CYCLE;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM
nucleotide_nitrogen	module_cellular_synthesis	9	9	NAD_METABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;PURINE_DEGRADATION_URATE;PURINE_DE_NOVO_SYNTHESIS;PURINE_SALVAGE;PYRIMIDINE_DEGRADATION;PYRIMIDINE_SYNTHESIS;UREA_CYCLE;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM
nucleotide_nitrogen	full_GSE280297_matrix	9	9	NAD_METABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;PURINE_DEGRADATION_URATE;PURINE_DE_NOVO_SYNTHESIS;PURINE_SALVAGE;PYRIMIDINE_DEGRADATION;PYRIMIDINE_SYNTHESIS;UREA_CYCLE;XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM
complement	primary_independent_effects	9	9	COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_CLASSICAL;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_LECTIN;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_REGULATORS;COMPLEMENT_TERMINAL_MAC
complement	broad_effect_reliability	9	7	COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_CLASSICAL;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_REGULATORS
complement	module_cellular_synthesis	9	7	COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_CLASSICAL;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_REGULATORS
complement	full_GSE280297_matrix	9	9	COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_CLASSICAL;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_LECTIN;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_REGULATORS;COMPLEMENT_TERMINAL_MAC
