figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score	C2 bladder	C2 placenta	C2 uterus	C3 bladder
Figure_6	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.4390215145607949	standardized_module_score_beta	positive	True	0.0190375154413734	1.0	human_systemic_urinary_inflammation_comparator																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	-0.0932601504912431	standardized_module_score_beta	negative	False	0.7691986183501023	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.593588717978961	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.5277570488893757	standardized_module_score_beta	positive	False	0.2775027289223117	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	-0.2188099670062159	standardized_module_score_beta	negative	False	0.5535108664810203	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	0.3495400299256836	standardized_module_score_beta	positive	False	0.2500318944008714	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.6586311933890442	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.7116572012171	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	0.7814687820842906	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	0.8737464490100074	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.7289353679747926	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.1632808447919931	standardized_module_score_beta	positive	False	0.5543063651489776	1.0	mouse_bladder_average_pathogen_exposure_effect																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	1.0085607514920767	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	1.601768502216392	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	-0.1401415109162123	hedges_g	negative	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	-0.4690392605595158	hedges_g	negative	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	1.3709552773169482	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.6086712161392323	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.5144853654662742	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	-0.2757320911697049	hedges_g	negative	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	-0.0933810551871245	hedges_g	negative	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.9900621618745398	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	1.447321620719106	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																														
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3394515424730212	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2188321655207958	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.2725791025550987	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2638874392667465	3.0	2.0	1.0	0.6666666666666666	0.8707596751075012																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.0977903621847027	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0792406216164212	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-0.0039774294391697	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.2169746742714997	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	-0.406645615550242	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.214753808423625	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	-0.1814703505147327	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.1035193377235046	3.0	1.0	2.0	0.6666666666666666	0.8641483516483516																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	0.428492046396194	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2212291756408512	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	0.1431634392663947	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1425607745757932	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.0467415211978371	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0900382817237325	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	0.2898294371376078	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0897926616199494	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																								
Figure_6	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.1040068212709447	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0344466932821367	3.0	2.0	1.0	0.6666666666666666	0.8707596751075012																																																								
Figure_6	B	full_GSE280297_C1_matrix																						Leptin signaling	-0.8527724012270284	-0.1919679946975772	-0.7524117043029656																																																				
Figure_6	B	full_GSE280297_C1_matrix																						Resistin-associated inflammatory signaling	-0.50684976743131	0.4912458416695309	-0.5059353303526654																																																				
Figure_6	B	full_GSE280297_C1_matrix																						Insulin receptor and IRS signaling	-1.3402578002419596	-0.4097496453018356	-0.6759836665295377																																																				
Figure_6	B	full_GSE280297_C1_matrix																						PI3K-AKT signaling	-1.289974024948377	-0.363776852967889	-0.6352753686157185																																																				
Figure_6	B	full_GSE280297_C1_matrix																						mTORC1 insulin output	-0.8517546154371797	-0.231067528762688	-0.1388560555225061																																																				
Figure_6	B	full_GSE280297_C1_matrix																						AMPK counter-regulation of insulin signaling	-0.744315365082096	-0.3042971240102138	-0.3017039718146977																																																				
Figure_6	B	full_GSE280297_C1_matrix																						Adiponectin signaling	-1.0885162443443697	-0.2392206686071992	0.1569916334552669																																																				
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	10.0	9.0	0.9	True	-0.3071634655448362	0.3071634655448366	0.6143269310896728	1.5727870839748823	0.3333333333333333	0.33883905747661	0.4533207281063203	0.7777777777777778	0.2222222222222222	0.7777777777777778	0.6239316239316239	1.5727870839748823	False	moderate_cellular_localization_support	0.6566783045708817	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	10.0	7.0	0.7	True	-0.3099657632221142	0.3099657632221142	0.6199315264442284	1.3364412229184706	0.3333333333333333	0.6870788582378543	0.2245468308089186	0.7142857142857143	0.2857142857142857	0.7142857142857143	0.6239316239316239	1.3364412229184706	False	moderate_cellular_localization_support	0.7336441222918471	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	18.0	16.0	0.8888888888888888	True	-0.2611480913114217	0.2611480913114224	0.5222961826228443	1.910657881447588	0.3333333333333333	0.2396556144892697	0.3247410658403851	0.75	0.25	0.75	0.6239316239316239	1.910657881447588	False	moderate_cellular_localization_support	0.5817558411851016	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	18.0	17.0	0.9444444444444444	True	-0.3518377518132343	0.3518377518132358	0.7036755036264701	1.3985257466357064	0.3333333333333333	0.2906724172111529	0.2602583244245178	0.8235294117647058	0.1764705882352941	0.8235294117647058	0.6239316239316239	1.3985257466357064	False	moderate_cellular_localization_support	0.6279283383889023	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	15.0	15.0	1.0	True	-0.3604113444089868	0.3604113444089867	0.7208226888179736	1.1558863729173094	0.3333333333333333	0.4269482804287739	0.4912951547229696	0.8666666666666667	0.1333333333333333	0.8666666666666667	0.6239316239316239	1.1558863729173094	False	high_cellular_localization_support	0.7565087563442942	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	12.0	11.0	0.9166666666666666	True	-0.365936613388668	0.365936613388668	0.7318732267773361	1.088771830579674	0.3333333333333333	0.301428621007954	0.2482658556302777	0.6363636363636364	0.3636363636363636	0.6363636363636364	0.6239316239316239	1.088771830579674	False	directional_cellular_support	0.4756174874196714	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	13.0	13.0	1.0	True	-0.1444943108552623	0.1444943108552626	0.2889886217105249	0.5351226139977819	0.6666666666666666	0.1798655120670681	0.0961825081267608	0.6923076923076923	0.3076923076923077	0.6923076923076923	0.7978142076502732	0.5351226139977819	False	directional_cellular_support	0.3500066068755241	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	17.0	17.0	1.0	True	-0.2809617372291303	0.2809617372291313	0.5619234744582616	0.805301887041079	0.3333333333333333	0.1524818875761933	0.161893186075976	0.7647058823529411	0.2352941176470588	0.7647058823529411	0.6239316239316239	0.805301887041079	False	directional_cellular_support	0.4030580051697406	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8			higher_in_UPEC															broad_cell_type	NK_cell	11.0	11.0	1.0	True	-0.6098379305357284	0.6098379305357282	1.2196758610714566	3.699888747131938	0.3333333333333333	0.963234103685472	0.8773191813837955	0.9090909090909092	0.0909090909090909	0.9090909090909092	0.6239316239316239	3.699888747131938	False	high_cellular_localization_support	0.9363636363636364	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	10.0	9.0	0.9	True	-0.4236984318132979	0.4236984318132981	0.847396863626596	0.9869529199839648	0.3333333333333333	0.3680367342543513	0.3795115441738526	0.8888888888888888	0.1111111111111111	0.8888888888888888	0.5289855072463768	0.9869529199839648	False	high_cellular_localization_support	0.7021505750495349	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	10.0	7.0	0.7	True	-0.1295631750520532	0.1295631750520527	0.259126350104106	0.2034838705856151	0.6666666666666666	0.4797623534439988	0.0125335826076327	0.5714285714285714	0.4285714285714285	0.5714285714285714	0.8248587570621468	0.2034838705856151	False	limited_cellular_support	0.5021345051581605	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	18.0	16.0	0.8888888888888888	True	-0.1264013905094756	0.126401390509475	0.2528027810189506	0.4833250931855275	0.6666666666666666	0.1470358036900571	0.1895334769278585	0.5625	0.4375	0.5625	0.8248587570621468	0.4833250931855275	False	limited_cellular_support	0.2244147326396041	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	18.0	17.0	0.9444444444444444	True	-0.5158482818735435	0.5158482818735448	1.0316965637470883	1.3622128302421304	0.3333333333333333	0.4714131026086342	0.390928056442994	0.9411764705882352	0.0588235294117647	0.9411764705882352	0.5289855072463768	1.3622128302421304	False	high_cellular_localization_support	0.8693166047837484	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	15.0	15.0	1.0	True	-0.5470549836131042	0.5470549836131041	1.0941099672262085	2.504419866969952	0.3333333333333333	0.5491715207504146	0.4827448767022062	0.8666666666666667	0.1333333333333333	0.8666666666666667	0.5289855072463768	2.504419866969952	False	high_cellular_localization_support	0.9066666666666668	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	12.0	11.0	0.9166666666666666	True	-0.6470031458793888	0.6470031458793882	1.2940062917587771	1.7478576840547315	0.3333333333333333	0.5275647192697792	0.463055850724225	1.0	0.0	1.0	0.5289855072463768	1.7478576840547315	False	high_cellular_localization_support	0.9747857684054732	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	13.0	13.0	1.0	True	-0.2435490089888919	0.243549008988892	0.4870980179777839	0.8552471697065297	0.3333333333333333	0.2312276330250466	0.2101138569538316	0.6923076923076923	0.3076923076923077	0.6923076923076923	0.5289855072463768	0.8552471697065297	False	moderate_cellular_localization_support	0.4282449713085795	higher_in_UPEC																														
Figure_6	C	broad_effect_reliability					insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8			higher_in_UPEC															broad_cell_type	T_cell	17.0	17.0	1.0	True	-0.471128689612268	0.4711286896122689	0.9422573792245368	0.946924249229502	0.3333333333333333	0.2464607101782985	0.2946388315851767	0.8823529411764706	0.1176470588235294	0.8823529411764706	0.5289855072463768	0.946924249229502	False	moderate_cellular_localization_support	0.5841541229069482	higher_in_UPEC																														
