paragraph_index	text	style_id	outline_level	detected_section	character_count	word_count	contains_figure_reference	contains_table_reference
17	A module-level reanalysis strategy is well suited to this problem because it can compare interpretable host-response programs across heterogeneous platforms, organisms, tissues, and sample types. Here, curated modules were used to represent microbial sensing, NF-kB/MAPK and interferon-like signaling, inflammatory cell death, neutrophil and myeloid effector biology, immune restraint, pregnancy/hormonal signaling, oxidative stress, barrier repair, and transcriptionally inferred metabolic activity [Andreatta_2021_UCell; Wang_2024_scPS_benchmark; Andreatta_2026_UCell_pyUCell; Worby_2022_rUTI_multiomics].				607	65	False	False
18	The objective of this study was to reconstruct a multi-context UTI host-response atlas by integrating recurrence-trigger, pregnancy-associated UTI, human urine inflammatory comparator, and UPEC single-cell validation layers. The analysis aimed to identify convergent host-response modules, evaluate whether these modules were directionally supported in UPEC-responsive single-cell data, and define modules that behaved differently across bulk and single-cell contexts. The overall workflow is summarized in Figure 1.				516	65	True	False
19	The resulting atlas prioritized NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING as dominant single-cell-validated host-response modules. In contrast, TCA_OXPHOS_MITOCHONDRIAL, APOPTOSIS_MODULE, MAST_CELL_MRGPRX2_AXIS showed single-cell-consistent directionality that differed from the bulk-dominant cross-context direction, highlighting compartment- and cell-state-specific behavior. This framework provides a mechanistic scaffold for interpreting UTI host responses across bladder, urine, pregnancy-associated tissue, and single-cell immune contexts.				744	59	False	False
20	Methods	Heading1		Methods	7	1	False	False
21	Study design and public dataset framework	Heading2			41	6	False	False
22	This study used an integrative public-data reanalysis framework to reconstruct host-response programs associated with UTI-related inflammation, recurrence-associated bladder perturbation, pregnancy-associated UTI, human urine inflammatory states, and UPEC-responsive single-cell profiles. The analysis was organized around a bladder-blood-gut-pregnancy conceptual axis, but formal module scoring was restricted to datasets with usable gene-level expression or count matrices after matrix inspection and repair. Dataset acquisition, file-structure inspection, matrix repair, module scoring, cross-cohort integration, and single-cell validation were implemented as sequential reproducible phases within the project directory `project:`.				754	84	False	False
23	The final included analysis layers were: GSE186800 as a Gardnerella-triggered bladder recurrence model; GSE280297 gene-count data as a pregnancy-associated UTI model with bladder, uterus, and placenta contexts; GSE112098 as a repaired human urine inflammatory comparator; and GSE252321 as a single-cell UPEC validation layer. Datasets or files that could not be resolved to reliable gene-level features were held from formal module scoring. Specifically, the alternative GSE280297 normalized matrix was held because module coverage remained unsuitable after repair, and GSE261018 was held as diagnostic-only because the acquired count matrix lacked usable gene identifiers in the downloaded file. Additional single-cell resources identified during acquisition were reserved for possible later annotation or validation extensions.				829	110	False	False
24	Public data acquisition and file-structure inspection	Heading2			53	6	False	False
25	GEO series matrices, supplementary files, and GEO file lists were downloaded or inventoried during the acquisition phases. Each candidate matrix was inspected for delimiter structure, header composition, sample-column identity, feature-column identity, row count, and compatibility with gene-symbol-level module scoring. Processed matrices with clear gene identifiers and sample columns were advanced to matrix repair and module scoring. Files with ambiguous feature identities, non-gene first columns, or unresolved orientation were not used for formal contrasts until repair could establish a usable gene-by-sample or gene-by-cell structure.				643	83	False	False
26	Curated UTI host-response module library	Heading2			40	5	False	False
27	A curated host-response module library was constructed in GMT format and used consistently across bulk, urine, pregnancy-associated tissue, recurrence-trigger, and single-cell analyses. The library covered innate microbial sensing modules including TLR4/LPS and TLR5/flagellin signaling; inflammatory signal-transduction modules including NF-kB/MAPK and type-I-interferon/IRF programs; inflammatory cell-death modules including NLRP3/pyroptosis, apoptosis, necroptosis, and ferroptosis/oxidative cell death; effector and regulatory immune modules including neutrophil/NETosis, macrophage/DC activation, Treg/IL10/CD137, mast-cell/MRGPRX2, complement/coagulation/antimicrobial defense; pregnancy and hormonal modules including glucocorticoid and oxytocin/pregnancy signaling; oxidative stress and transcriptionally inferred metabolic activity modules; and urothelial barrier/repair modules. Module names were retained as stable computational identifiers, while biological interpretation used conservative language such as transcriptionally inferred metabolic activity rather than direct metabolic flux.				1101	127	False	False
28	Matrix repair and gene-symbol harmonization	Heading2			43	5	False	False
29	Each dataset was repaired using matrix-specific logic based on the observed file structure. For GSE186800, the raw gene CPM matrix was parsed to retain the true biological sample columns and remove non-sample annotation columns. For GSE280297, the gene-count matrix was repaired by mapping mouse Ensembl-like identifiers to gene symbols using locally available symbol relationships from the project data layer. The repaired GSE280297 gene-count matrix was used for tissue- and outcome-specific pregnancy-associated UTI contrasts, whereas the alternative normalized matrix was held because it did not recover adequate module gene coverage. For GSE112098, the GEO series matrix expression table was extracted and repaired by mapping probe identifiers to gene symbols using the independent validation matrix that contained probe-to-symbol annotations. Sample labels were inferred from GEO sample titles and characteristics to define sepsis and vascular-surgery control groups.				973	134	False	False
30	For GSE252321, the first direct attempt to download individual supplementary matrix files failed because the matrices were packaged inside the GEO RAW tar archive rather than exposed as standalone files. The RAW tar archive was therefore downloaded, and four expected matrices were extracted: Control_1, Control_2, UPEC_1, and UPEC_2. Matrix inspection showed that each extracted file was a gene-by-cell count matrix with gene symbols in the first column and cell barcodes in the remaining columns. These matrices were then advanced to memory-safe single-cell scoring.				568	83	False	False
31	Module scoring in bulk, urine, and pregnancy-associated tissue matrices	Heading2			71	9	False	False
32	Repaired gene-by-sample matrices were transformed as appropriate for the expression scale of each dataset and then scored against the curated module library. Module scores were calculated only when sufficient module genes were present in the repaired matrix. Dataset-specific group contrasts were generated as signed module-score differences between predefined biological groups. GSE186800 was analyzed as Gardnerella versus PBS exposure in a recurrence-trigger bladder model. GSE280297 gene-count data were analyzed across bladder, uterus, and placenta compartments using contrasts for UTI89 preterm versus mock, UTI89 term versus mock, UTI89 preterm versus UTI89 term, and nonpregnant UTI89 versus mock where applicable. GSE112098 was analyzed as a human urine sepsis versus vascular-surgery control comparator after probe-to-symbol repair.				842	112	False	False
33	For each contrast, the analysis recorded group means, signed deltas, effect-size summaries, nominal P values where applicable, and Benjamini-Hochberg false-discovery-rate estimates. Because the included datasets differed in organism, tissue source, sample type, platform, and study design, formal integration emphasized module-level directionality, relative effect size, and cross-context concordance rather than direct gene-level meta-analysis.				445	52	False	False
34	Cross-cohort module atlas and prioritization	Heading2			44	5	False	False
35	The recurrence, pregnancy-associated UTI, and human urine comparator contrasts were merged into a context-by-module atlas. Each module was summarized across contexts by the number of contributing contrasts, number of model families represented, mean and median absolute module-score delta, maximum absolute delta, mean absolute effect size, minimum P value, minimum FDR, positive and negative directional context counts, concordance fraction, and dominant direction. A cross-cohort priority score was then calculated to rank modules by effect-size magnitude, model-family breadth, and directional concordance. This generated the Phase U7 integrated module atlas and candidate cross-cohort host-response hierarchy.				713	92	False	False
36	Single-cell UPEC module scoring	Heading2			31	4	False	False
37	The GSE252321 single-cell validation layer was processed from four extracted gene-by-cell count matrices. Each matrix was streamed in a memory-safe manner. In the first pass, per-cell total counts, detected genes, matrix gene counts, and module-gene coverage were calculated. In the second pass, counts were normalized within each cell by library size, scaled to 10,000 counts per cell, log-transformed using log1p, and summarized into module scores by averaging the normalized expression of present module genes. Per-cell module scores were retained in both wide and long formats, and per-sample mean and median module scores were calculated for Control_1, Control_2, UPEC_1, and UPEC_2.				688	101	False	False
38	Single-cell validation was evaluated at two levels. First, sample-level Control-versus-UPEC contrasts were calculated from the four biological sample summaries and treated as the primary replicate-aware single-cell summary. Second, cell-level Control-versus-UPEC contrasts were calculated across all cells and interpreted as a module-score distribution comparison. The cell-level statistics were not interpreted as independent biological-replicate tests because cells are nested within two control and two UPEC biological samples.				530	65	False	False
39	Integration of single-cell validation with the cross-cohort atlas	Heading2			65	8	False	False
40	The Phase U9 integration step merged the cross-cohort priority table with the GSE252321 sample-level and cell-level single-cell module contrasts. For each module, the bulk-dominant cross-cohort direction was compared with the single-cell sample-level and cell-level UPEC-versus-control directions. Modules were classified as bulk-consistent sample-and-cell validated when both single-cell summaries matched the cross-cohort dominant direction. Modules with internally consistent single-cell directionality that differed from the cross-cohort dominant direction were classified as single-cell-consistent but bulk-dominant-discordant. These discordant patterns were treated as potential compartment- or cell-state-specific behavior rather than contradictions.				757	85	False	False
41	Figure generation and manuscript traceability	Heading2			45	5	False	False
42	Draft heatmaps and barplots were generated during the analysis phases and exported in PNG, SVG, EPS, and high-resolution TIFF formats where applicable. A manuscript-facing figure map, results subsection outline, table-to-claim traceability table, and results claim index were created to ensure that each major manuscript statement could be traced to a specific output table and candidate figure. The Methods draft was similarly linked to computational phases, input files, and generated output tables through the Phase U12 methods traceability table.				550	78	False	False
43	Statistical and interpretive boundaries	Heading2			39	4	False	False
44	The study was designed as an integrative public-omics reanalysis rather than a new prospective cohort. Therefore, results were interpreted as module-level convergence and validation across public datasets, not as causal evidence. Cross-dataset integration was performed at the module level because platform, organism, tissue, sample type, and study-design differences made direct pooled gene-level inference inappropriate. Single-cell cell-level statistics were interpreted as distributional validation because cells are nested within biological samples. Metabolic modules were interpreted as transcriptionally inferred metabolic activity rather than direct biochemical flux. Datasets lacking recoverable gene identifiers or adequate module coverage were held from formal scoring to preserve feature-level interpretability.				823	101	False	False
45	Results	Heading1		Results	7	1	False	False
46	Dataset repair and construction of a multi-context UTI host-response atlas	Heading2			74	10	False	False
47	We first constructed a harmonized host-response module framework to compare UTI-related signals across recurrence, pregnancy-associated infection, human urine inflammatory states, and single-cell UPEC exposure. After matrix repair and module-score harmonization, the usable analysis framework comprised the GSE186800 recurrence-trigger bladder model, the GSE280297 pregnancy-associated UTI model, the repaired GSE112098 human urine comparator, and the GSE252321 single-cell UPEC validation layer. These layers were integrated into a module-level atlas in which each biological context was represented by signed module-score contrasts and then evaluated against UPEC-responsive single-cell module shifts (Figure 1; Figure 2; Table S1).				734	91	True	False
48	The single-cell validation layer included 28313 cells across four biological samples, comprising 14857 control cells from 2 control samples and 13456 UPEC-exposed cells from 2 UPEC samples. Because the design contains two biological samples per group, sample-level single-cell contrasts were treated as biological-replicate summaries, whereas cell-level contrasts were interpreted as validation distributions rather than independent biological-replicate tests (Figure 6; Table S2).				481	61	True	False
49	Recurrence-trigger and pregnancy-associated UTI models reveal recurrent innate inflammatory modules	Heading2			99	10	False	False
50	In the GSE186800 recurrence-trigger bladder model, Gardnerella exposure produced module-level shifts involving MACROPHAGE_DC_ACTIVATION (decreased, delta -0.609); COMPLEMENT_COAGULATION_ANTIMICROBIAL (decreased, delta -0.391); NF_KB_MAPK_INFLAMMATION (increased, delta 0.322); FERROPTOSIS_OXIDATIVE_CELL_DEATH (increased, delta 0.314); TLR5_FLAGELLIN_SIGNALING (increased, delta 0.294); NEUTROPHIL_NETOSIS (decreased, delta -0.271). These results supported the use of GSE186800 as a recurrence-trigger context rather than as a stand-alone acute infection model (Figure 2; Table S3).				582	65	True	False
51	The GSE280297 pregnancy-associated UTI model added tissue-specific resolution across bladder, uterus, and placenta. The largest module shifts included NEUTROPHIL_NETOSIS in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 1.061); TYPE_I_INTERFERON_IRF in Bladder (Bladder_UTI89_Preterm_vs_Mock_PBS, delta 0.976); NEUTROPHIL_NETOSIS in Bladder (Bladder_UTI89_Preterm_vs_Mock_PBS, delta 0.943); TLR5_FLAGELLIN_SIGNALING in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 0.919); TLR4_LPS_SIGNALING in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 0.894); GLUCOCORTICOID_SIGNALING in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta -0.890); TCA_OXPHOS_MITOCHONDRIAL in Placenta (Placenta_UTI89_Term_vs_Mock_PBS, delta -0.703); NF_KB_MAPK_INFLAMMATION in Bladder (Bladder_UTI89_Nonpregnant_vs_Mock_PBS, delta 0.699). Together, these contrasts captured innate-sensing, inflammatory cell-death, hormonal-response, and transcriptionally inferred metabolic activity axes in pregnancy-associated UTI contexts (Figure 5; Table S3).				1046	96	True	False
52	A repaired human urine comparator supports inflammatory and immunometabolic module activation	Heading2			93	11	False	False
53	Repair of the GSE112098 series matrix recovered a human urine inflammatory comparator with sepsis and vascular-surgery control groups. In this urine comparator, the strongest module differences included GLUCOCORTICOID_SIGNALING (delta 0.427, FDR 0.001); OXYTOCIN_PREGNANCY_SIGNALING (delta 0.343, FDR 0.001); GLYCOLYSIS_CARBON_FLUX (delta 0.575, FDR 0.001); NLRP3_PYROPTOSIS (delta 0.507, FDR 0.001); MACROPHAGE_DC_ACTIVATION (delta 0.470, FDR 0.004); NEUTROPHIL_NETOSIS (delta 0.404, FDR 0.005); NF_KB_MAPK_INFLAMMATION (delta 0.403, FDR 0.011); NECROPTOSIS_MODULE (delta 0.306, FDR 0.011); TLR4_LPS_SIGNALING (delta 0.293, FDR 0.011); APOPTOSIS_MODULE (delta 0.180, FDR 0.026). These results supported the inclusion of GSE112098 as a human urine validation context for inflammatory, cell-death, innate-sensing, and transcriptionally inferred metabolic activity modules (Figure 2; Figure 3; Table S4).				902	126	True	False
54	Cross-cohort prioritization identifies convergent UTI host-response modules	Heading2			75	7	False	False
55	Cross-cohort prioritization identified a recurrent host-response architecture dominated by NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING, OXYTOCIN_PREGNANCY_SIGNALING, UROTHELIAL_BARRIER_REPAIR, FERROPTOSIS_OXIDATIVE_CELL_DEATH, OXIDATIVE_STRESS_NRF2, PENTOSE_PHOSPHATE_NADPH. These modules were prioritized because they combined cross-context representation, large module-score shifts, broad model-family coverage, and directional support in the single-cell UPEC validation layer. The highest-ranked modules concentrated in neutrophil/NETosis, interferon-like inflammation, TLR4/TLR5 innate sensing, NLRP3/pyroptosis, necroptosis, complement/antimicrobial defense, NF-kB/MAPK inflammation, macrophage/DC activation, glucocorticoid signaling, and oxytocin/pregnancy-linked signaling (Figure 2; Figure 3; Figure 4; Table S5).				1019	87	True	False
56	Single-cell UPEC validation confirms dominant innate-sensing, inflammatory, and cell-death modules	Heading2			98	10	False	False
57	Single-cell validation supported 17 modules in both sample-level and cell-distribution comparisons. The strongest validated modules were NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING. At the single-cell level, UPEC exposure was associated with higher module scores for neutrophil/NETosis, interferon-like inflammation, TLR4 and TLR5 signaling, NLRP3/pyroptosis, necroptosis, complement/antimicrobial defense, NF-kB/MAPK inflammation, macrophage/DC activation, glucocorticoid signaling, and oxytocin/pregnancy-linked signaling. These findings provide a cell-distribution validation layer for the bulk and cross-cohort atlas, while preserving the interpretation boundary that biological replication remains limited to two control and two UPEC samples (Figure 3; Figure 4; Figure 6; Table S6).				985	103	True	False
58	Discordant single-cell modules highlight compartment- and cell-state-specific behavior	Heading2			86	8	False	False
59	Three modules showed single-cell-consistent directionality that differed from the bulk-dominant cross-context direction: TCA_OXPHOS_MITOCHONDRIAL, APOPTOSIS_MODULE, MAST_CELL_MRGPRX2_AXIS. These modules should be interpreted as context-dependent rather than contradictory. The integrated atlas combines bulk bladder tissue, pregnancy-associated tissues, human urine expression, recurrence-trigger models, and UPEC-responsive single-cell distributions. Therefore, discordant directionality may reflect compartment composition, cell-state enrichment, or differences between whole-tissue and single-cell immune compartments rather than failed validation (Figure 3; Figure 6; Table S7).				682	70	True	False
60	Results-section traceability note	Heading2			33	3	False	False
61	All claims in this draft are linked to Phase U10 and Phase U11 traceability outputs. The major claim-level index is provided in `phaseU11_results_claim_index_v1.tsv`, and the key numerical anchors are provided in `phaseU11_key_numeric_anchors_v1.tsv`.				251	34	False	False
62	Discussion	Heading1		Discussion	10	1	False	False
63	Principal findings	Heading2			18	2	False	False
64	This integrative reanalysis identified a validated UTI host-response architecture in which 17 modules were directionally supported by both cross-cohort and single-cell evidence [Worby_2022_rUTI_multiomics; Liu_2025_CD137L_macrophage_UPEC_scRNA; Bandyopadhyay_2020_urinary_molecular_signature_sepsis]. The highest-priority modules were NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING. Together, these modules define an inflammatory architecture centered on innate sensing, neutrophil and myeloid effector activity, inflammatory cell-death-associated programs, hormonal-response modules, oxidative stress, and transcriptionally inferred metabolic activity.				847	67	False	False
65	Innate sensing and signal-transduction architecture	Heading2			51	5	False	False
66	TLR4/LPS and TLR5/flagellin signaling were among the strongest validated modules, accompanied by NF-kB/MAPK inflammation and interferon-like/IRF programs. This pattern supports a model in which UTI-related host response is not captured by a single inflammatory pathway but instead involves coordinated microbial sensing and downstream signal-transduction programs. The single-cell validation layer strengthens this interpretation because these modules increased in UPEC-exposed cells at both sample-summary and cell-distribution levels [Hannan_2023_immune_defenses_urinary_tract; Schwartz_2023_uropathogen_host_pyelonephritis; Russell_2023_UPEC_epithelial_trained_immunity].				674	72	False	False
67	Neutrophil, myeloid, and antimicrobial effector biology	Heading2			55	6	False	False
68	Neutrophil/NETosis was the top-ranked validated module, and complement/coagulation/antimicrobial defense and macrophage/DC activation also ranked highly. These findings suggest that inflammatory effector recruitment, antimicrobial defense, and myeloid activation are central features of the cross-context UTI host-response atlas [Hannan_2023_immune_defenses_urinary_tract; Schwartz_2023_uropathogen_host_pyelonephritis; Liu_2025_CD137L_macrophage_UPEC_scRNA; Masajtis_Zagajewska_2017_NETs_UTI; Demirel_2023_NETs_children_UTI]. However, because module scores can reflect both cell abundance and per-cell transcriptional state, these signals should be interpreted as inflammatory program enrichment rather than direct measurement of cell-type proportions unless supported by later deconvolution or annotation layers.				814	82	False	False
69	Inflammatory cell-death-associated programs	Heading2			43	3	False	False
70	NLRP3/pyroptosis, necroptosis, and ferroptosis/oxidative cell-death modules were recurrently prioritized. These modules provide a cell-injury and inflammatory cell-death-associated layer linking tissue inflammation, urine inflammatory states, pregnancy-associated contexts, and UPEC-responsive single-cell data [Demirel_2018_NLRP3_UPEC; Russell_2023_UPEC_epithelial_trained_immunity]. The results should be interpreted as transcriptional evidence for cell-death-associated programs rather than direct evidence of executed pyroptosis, necroptosis, apoptosis, or ferroptosis.				573	56	False	False
71	Pregnancy-associated hormonal and inflammatory modules	Heading2			54	5	False	False
72	Glucocorticoid signaling and oxytocin/pregnancy signaling connected pregnancy-associated UTI contrasts with the broader single-cell validation architecture. This supports the idea that pregnancy-associated UTI risk and inflammatory response may involve interactions between innate immune activation and hormonal-response transcriptional programs [GSE280297_maternofetal_UTI_preterm; Solano_Arck_2020_steroids_pregnancy_fetal_development; Cain_Cidlowski_2017_immune_regulation_glucocorticoids; UvnasMoberg_2023_oxytocin_labor_peripartum]. These modules should be framed as transcriptional signatures of hormonal-response biology rather than direct hormone concentration measurements.				682	59	False	False
73	Transcriptionally inferred metabolic and oxidative-stress activity	Heading2			66	6	False	False
74	Oxidative stress, pentose-phosphate/NADPH, glycolysis-associated, and TCA/OXPHOS modules contributed an immunometabolic layer to the atlas. These results should be described as transcriptionally inferred metabolic activity, not direct metabolic flux [Wang_2024_scPS_benchmark; Andreatta_2026_UCell_pyUCell; Andreatta_2021_UCell]. The TCA/OXPHOS module was especially informative because it showed single-cell-consistent directionality that differed from the bulk-dominant direction, suggesting that mitochondrial/TCA/OXPHOS-associated expression may depend strongly on compartment composition or UPEC-responsive cell state.				623	67	False	False
75	Directionally discordant modules and compartment specificity	Heading2			60	6	False	False
76	Three modules were classified as single-cell-consistent but bulk-dominant-discordant: TCA_OXPHOS_MITOCHONDRIAL, APOPTOSIS_MODULE, MAST_CELL_MRGPRX2_AXIS. These patterns should not be presented as failed validation. Instead, they likely reflect the fact that the integrated atlas combines bulk bladder tissue, pregnancy-associated tissues, urine expression, recurrence-trigger models, and single-cell immune distributions. Directional discordance therefore becomes a useful signal for identifying modules whose behavior may be compartment-, cell-type-, or cell-state-dependent.				576	62	False	False
77	Limitations	Heading2			11	1	False	False
78	This study is limited by its public-data reanalysis design, heterogeneity across species and platforms, differences in tissue and sample source, small biological replicate number in the GSE252321 single-cell validation layer, and the absence of direct metabolomics, proteomics for all contexts, or perturbational validation. The single-cell cell-level tests were interpreted as distributional validation because cells are nested within two control and two UPEC biological samples. Datasets without recoverable gene identifiers or adequate module coverage were held from formal scoring, which preserves interpretability but limits coverage of potentially relevant compartments.				676	88	False	False
79	Future directions	Heading2			17	2	False	False
80	Future work should test the prioritized modules in prospective cohorts with matched urine, blood, bladder or exfoliated urothelial compartments, pregnancy-specific sampling, pathogen metadata, recurrence follow-up, and orthogonal protein or metabolite measurements. Single-cell or spatial validation with explicit cell-type annotation would help distinguish cell-abundance effects from per-cell transcriptional activation. Perturbational models targeting TLR4/TLR5, NF-kB/MAPK, NLRP3, glucocorticoid signaling, oxytocin-associated signaling, and oxidative-stress/metabolic-response modules would be particularly valuable.				621	68	False	False
81	Concluding model	Heading2			16	2	False	False
82	Overall, the atlas supports a model in which UTI-related host response is organized around microbial sensing, inflammatory signal transduction, neutrophil and myeloid effector activity, inflammatory cell-death-associated programs, hormonal-response modules, and transcriptionally inferred metabolic and oxidative-stress activity. Single-cell validation strengthens the dominant inflammatory architecture while also identifying modules whose directionality is likely compartment- or cell-state-dependent.				503	54	False	False
83	Data availability	Heading1			17	2	False	False
84	All analyses were performed using publicly available datasets. Included datasets were GSE186800, GSE280297 gene-count data, GSE112098, and GSE252321. Dataset-specific inclusion and holding decisions are summarized in Table S1. Processed output tables, module-score summaries, figure-generation reports, and manuscript traceability files were generated within the project directory.				381	45	False	False
85	Code availability	Heading1			17	2	False	False
86	The analysis was implemented as sequential project phases using reproducible scripts stored under `04_scripts/`. Key phases covered dataset acquisition, matrix repair, module scoring, cross-cohort integration, single-cell validation, manuscript traceability, and manuscript drafting.				283	32	False	False
87	Ethics statement	Heading1			16	2	False	False
88	This study reanalyzed publicly available de-identified datasets and did not generate new human participant data. Final journal-specific ethics language should be aligned with source dataset access terms and target-journal policy.				229	30	False	False
89	Author contributions	Heading1			20	2	False	False
90	Reuben S. Maghembe conceived the study, designed the computational workflow, performed the integrative analysis, interpreted the results, and drafted the manuscript. Final author-contribution statements should be updated after co-author review and contribution confirmation.				274	33	False	False
91	Competing interests	Heading1			19	2	False	False
92	The competing-interest statement should be finalized before submission.				71	8	False	False
93	Funding	Heading1			7	1	False	False
94	Funding information should be added before submission.				54	7	False	False
95	Acknowledgements	Heading1			16	1	False	False
96	Acknowledgements should be added before submission.				51	6	False	False
97	Figure 1. Multi-context host-omics framework for reconstructing urinary tract infection host-response architecture.	Heading2			115	12	True	False
98	Figure 1. Multi-context host-omics framework for reconstructing urinary tract infection host-response architecture. Public datasets representing a recurrence-trigger bladder model, pregnancy-associated UTI tissues, a repaired human urine inflammatory comparator, and UPEC-responsive single-cell immune data were organized into a harmonized module-scoring workflow. Matrices were inspected and repaired where possible, harmonized to gene-level features, and scored using a curated UTI host-response module library. Cross-cohort module priorities were integrated with sample-level and cell-distribution single-cell UPEC validation to identify broadly supported and context-dependent host-response modules.				703	80	True	False
99	Figure 2. Integrated cross-cohort module atlas.	Heading2			47	6	True	False
