repair_id	rank	path	relative_path	score	size_bytes	keywords
S3_ADD_GSE280297_EFFECTS	12	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_effect_size_matrix.tsv	37	1321	GSE280297; effect; contrast
S3_ADD_GSE186800_EFFECTS	1	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_block_interaction_effects.tsv	37	74303	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	2	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_FDR10_noninfection_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE186800_FDR10_noninfection_effects.tsv	37	1576	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	3	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE186800_U26B2A1_validated_sample_design.tsv	29	1201	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	4	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_harmonized_effect_evidence.tsv	06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_harmonized_effect_evidence.tsv	25	460730	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	5	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	25	458259	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	6	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	25	189506	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	7	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	25	95150	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	8	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	25	49813	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	9	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_large_primary_effects.tsv	06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_large_primary_effects.tsv	25	34340	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	10	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_effect_matrix.tsv	06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_effect_matrix.tsv	25	28501	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	11	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_effect_size_matrix.tsv	25	18611	GSE186800; effect; contrast
S3_ADD_GSE186800_EFFECTS	12	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_effect_matrix.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_effect_matrix.tsv	25	7969	GSE186800; effect; contrast
S6_ADD_GSE252321_QC	1	project://06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_flat_matrix_QC.tsv	06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_flat_matrix_QC.tsv	34	3749	GSE252321; qc
S6_ADD_GSE252321_QC	2	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_qc_summary_v1.tsv	07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_qc_summary_v1.tsv	28	905	GSE252321; qc
S6_ADD_GSE252321_QC	3	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_celltype_composition_effects.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_celltype_composition_effects.tsv	25	890	GSE252321; qc
S6_ADD_GSE252321_QC	4	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	25	876	GSE252321; qc
S6_ADD_GSE252321_QC	5	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_targeted_state_effects.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_targeted_state_effects.tsv	25	653	GSE252321; qc
S6_ADD_GSE252321_QC	6	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_canonical_matrix_qc.tsv	06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_canonical_matrix_qc.tsv	25	533	GSE252321; qc
S6_ADD_GSE252321_QC	7	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	22	383828	GSE252321; qc
S6_ADD_GSE252321_QC	8	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999426_Control_1/GSM7999426_Control_1_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999426_Control_1/GSM7999426_Control_1_genes.tsv	22	320489	GSE252321; qc
S6_ADD_GSE252321_QC	9	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999429_UPEC_2/GSM7999429_UPEC_2_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999429_UPEC_2/GSM7999429_UPEC_2_genes.tsv	22	318644	GSE252321; qc
S6_ADD_GSE252321_QC	10	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999427_Control_2/GSM7999427_Control_2_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999427_Control_2/GSM7999427_Control_2_genes.tsv	22	303757	GSE252321; qc
S6_ADD_GSE252321_QC	11	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999428_UPEC_1/GSM7999428_UPEC_1_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999428_UPEC_1/GSM7999428_UPEC_1_genes.tsv	22	298905	GSE252321; qc
S6_ADD_GSE252321_QC	12	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_celltype_module_results.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_celltype_module_results.tsv	22	156846	GSE252321; qc
S6_ADD_GSE252321_COMPOSITION	1	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_celltype_composition_effects.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_celltype_composition_effects.tsv	37	890	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	2	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	34	5550	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	3	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_cluster_composition.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_cluster_composition.tsv	34	3849	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	4	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_celltype_composition.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_celltype_composition.tsv	34	2068	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	5	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_refined_sample_celltype_composition.tsv	06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_refined_sample_celltype_composition.tsv	34	1806	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	6	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE252321_U26B2A1_sample_level_pseudobulk_design.tsv	25	876	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	7	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_targeted_state_effects.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_targeted_state_effects.tsv	25	653	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	8	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	22	383828	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	9	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999426_Control_1/GSM7999426_Control_1_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999426_Control_1/GSM7999426_Control_1_genes.tsv	22	320489	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	10	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999429_UPEC_2/GSM7999429_UPEC_2_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999429_UPEC_2/GSM7999429_UPEC_2_genes.tsv	22	318644	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	11	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999427_Control_2/GSM7999427_Control_2_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999427_Control_2/GSM7999427_Control_2_genes.tsv	22	303757	GSE252321; composition
S6_ADD_GSE252321_COMPOSITION	12	project://03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999428_UPEC_1/GSM7999428_UPEC_1_genes.tsv	03_data_processed/phaseU26D1A_GSE252321_flat_matrix_validation/GSM7999428_UPEC_1/GSM7999428_UPEC_1_genes.tsv	22	298905	GSE252321; composition
S8_COMPLEMENT_ATTRIBUTION	1	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	34	5977	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	2	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	25	458259	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	3	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	25	189506	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	4	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_variance_sensitive_effects.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_variance_sensitive_effects.tsv	25	5821	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	5	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	22	31868	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	6	project://03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_Figures_7_to_11_cellular_panel_plan.tsv	03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_Figures_7_to_11_cellular_panel_plan.tsv	22	24001	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	7	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	22	23329	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	8	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	22	21268	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	9	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	22	19587	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	10	project://03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_claim_boundary_matrix.tsv	03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_claim_boundary_matrix.tsv	22	1098	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	11	project://03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	03_metadata/phaseU26B2A1_cross_dataset_input_repair/GSE112098_U26B2A1_validated_sample_design.tsv	17	124024	complement; cellular; attribution
S8_COMPLEMENT_ATTRIBUTION	12	project://03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	03_metadata/phaseU26A4_GSE280297_established_asset_validation/GSE280297_U26A4_validated_sample_design.tsv	17	13190	complement; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	1	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_effect_size_matrix.tsv	37	18611	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	2	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_7_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_7_effect_size_matrix.tsv	37	5367	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	3	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_9_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_9_effect_size_matrix.tsv	37	4845	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	4	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_8_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_8_effect_size_matrix.tsv	37	4767	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	5	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_10_effect_size_matrix.tsv	37	2388	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	6	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_effect_size_matrix.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_effect_size_matrix.tsv	37	1321	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	7	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_all_contrast_results.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_all_contrast_results.tsv	34	390589	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	8	project://06_tables/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_submodule_coverage_by_dataset.tsv	06_tables/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_submodule_coverage_by_dataset.tsv	34	75851	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	9	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_index_contrasts.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_composite_index_contrasts.tsv	34	20877	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	10	project://03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	03_metadata/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_expanded_submodule_library.tsv	34	17925	endocrine; metabolic; cellular; attribution
S8_ENDOCRINE_METABOLIC_ATTRIBUTION	11	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_GSE280297_submodule_coverage.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_GSE280297_submodule_coverage.tsv	34	15384	endocrine; metabolic; cellular; attribution
