axis	submodule_id	display_label	adequate_bulk_datasets	partial_bulk_datasets	single_cell_coverage	mean_coverage_fraction	priority_weight	proposed_figure_family	figure_recommendation
adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	3	0	adequate	1.0	4	Figure_8	main_figure_strong
amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	3	0	adequate	0.9231	5	Figure_9	main_figure_strong
amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	3	0	adequate	1.0	5	Figure_9	main_figure_strong
amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	3	0	adequate	0.9423	5	Figure_9	main_figure_strong
amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	3	0	adequate	0.9808	5	Figure_9	main_figure_strong
amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	3	0	adequate	1.0	5	Figure_9	main_figure_strong
amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	3	0	adequate	1.0	4	Figure_9	main_figure_strong
amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	3	0	adequate	0.9039	4	Figure_9	main_figure_strong
amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	3	0	adequate	1.0	5	Figure_9	main_figure_strong
catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	3	0	adequate	0.9423	4	Figure_9	main_figure_strong
catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	3	0	adequate	1.0	4	Figure_9	main_figure_strong
catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	3	0	adequate	0.95	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	3	0	adequate	0.8462	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	3	0	adequate	0.9167	4	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	3	0	adequate	0.9773	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	3	0	adequate	0.9167	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	3	0	adequate	1.0	4	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	3	0	adequate	1.0	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	3	0	adequate	0.975	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	3	0	adequate	0.9821	5	Figure_9	main_figure_strong
nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	3	0	adequate	0.9808	5	Figure_9	main_figure_strong
complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	3	0	adequate	0.825	5	Figure_10	main_figure_strong
complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	3	0	partial	0.6875	5	Figure_10	main_figure_candidate_with_bulk_emphasis
complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	3	0	partial	0.7955	5	Figure_10	main_figure_candidate_with_bulk_emphasis
complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	3	0	adequate	0.875	5	Figure_10	main_figure_strong
complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	3	0	partial	0.775	5	Figure_10	main_figure_candidate_with_bulk_emphasis
complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	3	0	partial	0.7084	5	Figure_10	main_figure_candidate_with_bulk_emphasis
complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	3	0	adequate	0.9219	5	Figure_10	main_figure_strong
complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	1	2	partial	0.6965	5	Figure_10	supplement_or_secondary_main_panel
complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	3	0	adequate	0.8958	5	Figure_10	main_figure_strong
immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	3	0	adequate	0.9833	5	Integrated_network	main_figure_strong
immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	3	0	adequate	0.9688	5	Integrated_network	main_figure_strong
immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	3	0	adequate	0.9531	5	Integrated_network	main_figure_strong
immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	3	0	adequate	0.9616	5	Integrated_network	main_figure_strong
immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	3	0	adequate	0.9844	5	Integrated_network	main_figure_strong
immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	3	0	adequate	0.95	5	Integrated_network	main_figure_strong
