final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	source_role	locked_path	lock_status
Figure_6	A	Independent adipokine/insulin/carbon effects	reuse_and_rebuild	U27A4 Figure 8A	U27A4_Figure_8A	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6A	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	reuse_and_rebuild	U27A4 Figure 8B	U27A4_Figure_8B	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6B	frozen	preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_EXACT_RULE
Figure_6	C	Broad-cell signaling trajectories	reuse_and_rebuild	U27A4 Figure 8C	U27A4_Figure_8C	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6C	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_6	D	Refined-subtype adipokine and carbon support	reuse_and_rebuild	U27A4 Figure 8D	U27A4_Figure_8D	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6D	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_6	E	Leptin-IRS-PI3K/AKT network	table_driven_rebuild	U26C1/U26D2C core synthesis	U26C1_U26D2C_metabolic_network	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6E	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_6	E	Leptin-IRS-PI3K/AKT network	table_driven_rebuild	U26C1/U26D2C core synthesis	U26C1_U26D2C_metabolic_network	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6E	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_6	F	Glycolysis, HIF1A, glycogen and pentose phosphate	table_driven_rebuild	U26D2C broad/subtype reliability	U26D2C_carbon	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6F	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_6	F	Glycolysis, HIF1A, glycogen and pentose phosphate	table_driven_rebuild	U26D2C broad/subtype reliability	U26D2C_carbon	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6F	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_6	G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_AA_NO	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6G	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_AA_NO	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6G	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_AA_NO	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6G	frozen	preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_AA_NO	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6G	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_purine_redox	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6H	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_purine_redox	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6H	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_purine_redox	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6H	frozen	preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_EXPLICIT_REPAIR
Figure_6	H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_purine_redox	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6H	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_7	A	Complement effects organized by stage	reuse_and_rebuild	U27A4 Figure 10A	U27A4_Figure_10A	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7A	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_7	B	Pregnancy complement effects	reuse_and_rebuild	U27A4 Figure 10B	U27A4_Figure_10B	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7B	frozen	preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_EXACT_RULE
Figure_7	C	Broad-cell complement localization	reuse_and_rebuild	U27A4 Figure 10C	U27A4_Figure_10C	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7C	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_7	D	Refined-subtype complement support	reuse_and_rebuild	U27A4 Figure 10D	U27A4_Figure_10D	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7D	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_7	E	Complement branch topology	table_driven_rebuild	U26C1/U26D2C complement synthesis	U26C1_U26D2C_complement_topology	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7E	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_7	E	Complement branch topology	table_driven_rebuild	U26C1/U26D2C complement synthesis	U26C1_U26D2C_complement_topology	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7E	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_7	F	C3a/C5a versus opsonophagocytosis	table_driven_rebuild	U26D2C cellular attribution	U26D2C_complement_comparison	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7F	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXACT_RULE
Figure_7	F	C3a/C5a versus opsonophagocytosis	table_driven_rebuild	U26D2C cellular attribution	U26D2C_complement_comparison	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7F	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_7	G	Coverage and evidence map	table_driven_rebuild	U26D2B module coverage	U26D2B_complement_coverage	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7G	frozen	module_coverage	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_module_coverage.tsv	LOCKED_EXACT_RULE
Figure_8	A	Core modules across infection and pregnancy contexts	reuse_and_rebuild	U27A4 Figure 11A	U27A4_Figure_11A	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8A	frozen	preterm_collapsed	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	A	Core modules across infection and pregnancy contexts	reuse_and_rebuild	U27A4 Figure 11A	U27A4_Figure_11A	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8A	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	B	Cell-source-resolved core localization	reuse_and_rebuild	U27A4 Figure 11B	U27A4_Figure_11B	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8B	frozen	broad_effect_reliability	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	C	UPEC-associated cell-composition shifts	selected_rebuild	U27A4 Figure 11C composition subset	U27A4_Figure_11C_composition	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8C	frozen	celltype_composition_effects	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_celltype_composition_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	D	Treg-like and TNFSF9 macrophage states	selected_rebuild	U27A4 Figure 11C targeted-state subset	U27A4_Figure_11C_targeted	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8D	frozen	targeted_state_effects	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_targeted_state_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	E	Integrated mechanistic network	reuse_and_rebuild	U27A4 Figure 11D	U27A4_Figure_11D	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8E	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	E	Integrated mechanistic network	reuse_and_rebuild	U27A4 Figure 11D	U27A4_Figure_11D	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8E	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXPLICIT_REPAIR
Figure_8	F	Evidence hierarchy and limitations	table_driven_rebuild	U26C1 claim priorities and U26D2C boundaries	U26C1_U26D2C_evidence_boundary	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8F	frozen	module_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	LOCKED_EXACT_RULE
Figure_8	F	Evidence hierarchy and limitations	table_driven_rebuild	U26C1 claim priorities and U26D2C boundaries	U26C1_U26D2C_evidence_boundary	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8F	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
